id,compound_name,adduct,score,precursor_mz,ion_mobility,ccs,rt,mol_formula,smiles,inchi,inchi_key,method
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.975,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.975,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.974,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.974,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.969,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.969,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.968,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.968,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.967,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
57,"Nicotinic acid, pyridine-3-carboxylic acid",[M+H]+,0.967,124.0393,,,,C6H5NO2,OC(=O)C1=CC=CN=C1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,spectral_library_annotation
61,Arginine; LC-tDDA; CE10,[M+H]+,0.992,175.118957519531,,,12.65,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-N,spectral_library_annotation
61,Arginine; LC-tDDA; CE10,[M+H]+,0.992,175.118957519531,,,12.65,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-N,spectral_library_annotation
61,"Arginine, 2-amino-5-(diaminomethylideneamino)pentanoic acid",[M+H]+,0.983,175.119645688,,,,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",ODKSFYDXXFIFQN-UHFFFAOYSA-N,spectral_library_annotation
61,"Arginine, 2-amino-5-(diaminomethylideneamino)pentanoic acid",[M+H]+,0.983,175.119645688,,,,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",ODKSFYDXXFIFQN-UHFFFAOYSA-N,spectral_library_annotation
61,L-Arginine,[M+H]+,0.980,175.11895,,,,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-N,spectral_library_annotation
61,L-Arginine,[M+H]+,0.980,175.11895,,,,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-N,spectral_library_annotation
61,Arginine,[M+H]+,0.979,175.1189,,,9.4359,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-N,spectral_library_annotation
61,Arginine,[M+H]+,0.979,175.1189,,,9.4359,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-N,spectral_library_annotation
61,L-Arginine,[M+H]+,0.979,175.11895,,,,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",ODKSFYDXXFIFQN-UHFFFAOYSA-N,spectral_library_annotation
61,L-Arginine,[M+H]+,0.979,175.11895,,,,C6H14N4O2,O=C(O)C(N)CCCNC(=N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",ODKSFYDXXFIFQN-UHFFFAOYSA-N,spectral_library_annotation
132,L-Methionine,[M+H]+,0.991,150.05833,,,,C5H11NO2S,O=C(O)C(N)CCSC,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",FFEARJCKVFRZRR-BYPYZUCNSA-N,spectral_library_annotation
132,L-Methionine,[M+H]+,0.991,150.05833,,,,C5H11NO2S,O=C(O)C(N)CCSC,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",FFEARJCKVFRZRR-BYPYZUCNSA-N,spectral_library_annotation
132,L-METHIONINE,[M+H]+,0.984,150.058030758748,,,3.4409673,C5H11NO2S,CSCC[C@@H](C(=O)O)N,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",FFEARJCKVFRZRR-BYPYZUCNSA-N,spectral_library_annotation
