row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_media_03.mzML Peak area,171103_PMA_TK_media_04.mzML Peak area,171103_PMA_TK_QC_03.mzML Peak area,171103_PMA_TK_QC_04.mzML Peak area,171103_PMA_TK_media_06.mzML Peak area,171103_PMA_TK_QC_02.mzML Peak area,171103_PMA_TK_QC_01.mzML Peak area,171103_PMA_TK_PA14_05.mzML Peak area,171103_PMA_TK_QC_05.mzML Peak area,171103_PMA_TK_media_05.mzML Peak area,171103_PMA_TK_QC_07.mzML Peak area,171103_PMA_TK_media_02.mzML Peak area,171103_PMA_TK_PA14_03.mzML Peak area,171103_PMA_TK_M1_02.mzML Peak area,171103_PMA_TK_PA14_04.mzML Peak area,171103_PMA_TK_PA14_01.mzML Peak area,171103_PMA_TK_PA14_06.mzML Peak area,171103_PMA_TK_M1_04.mzML Peak area,171103_PMA_TK_QC_06.mzML Peak area,171103_PMA_TK_QC_08.mzML Peak area,171103_PMA_TK_PA14_02.mzML Peak area,171103_PMA_TK_M1_03.mzML Peak area,171103_PMA_TK_M1_05.mzML Peak area,171103_PMA_TK_M1_06.mzML Peak area,171103_PMA_TK_M1_01.mzML Peak area,
2627,120.08049405525155,1.0933621,,,,295,,,,,,,465783.8,520304.9,49233.965,49059.277,417090.84,46612.184,37120.336,67080.62,42584.703,416360.88,27549.729,477325.66,55009.31,4417.206,47299.195,67713.97,56583.45,3833.324,29376.084,28985.492,75136.66,4629.614,4354.288,6301.5215,4848.9614,
3923,120.08057937089534,1.5169753,,,,15,,,,,,,553764.0,593561.94,40481.414,40753.945,442959.62,44468.375,51146.957,17822.172,28092.457,480479.88,17046.047,530941.06,15195.761,8164.766,16441.1,22055.938,16967.299,5470.07,20291.752,14098.369,20508.709,8007.4146,6572.576,10250.778,8709.686,
2034,120.08081173709354,0.93304515,,,,,,,,,,,75328.81,105724.89,7297.13,9806.765,58924.52,7667.4346,1428842.4,5320.4053,7502.298,57172.965,2142.5342,63920.188,21502.936,0,10999.097,15709.909,17117.354,0,11344.498,9181.703,11280.098,0,0,0,0,
1325,120.08090071417911,0.7024069,,,,163,,,,,,,7394009.5,7959289.5,1324101.9,1371545.8,6371446.0,1378516.6,0,2921063.2,1404437.9,6493132.5,1432064.9,7228924.0,2540131.2,121989.336,2555931.8,3037341.5,2677746.8,97282.74,1343596.6,1310642.2,3106760.5,98606.836,98289.11,142277.67,141920.55,
7607,122.54734810916389,8.412525,,,,21,,,,,,,747837.2,730092.6,830894.9,773143.2,761049.8,930880.56,994827.0,762720.1,786193.6,794433.56,835635.94,751555.2,742924.94,830788.44,925749.8,722025.2,869530.56,877802.0,807413.44,916807.75,809052.2,815866.6,759270.25,885191.94,913430.2,
57,124.0394697453737,0.33063698,,,,7,,,,,,,589434.4,621660.2,215463.42,203586.73,519510.0,208377.69,224060.2,164821.53,203121.6,512551.5,181778.92,561406.6,141433.52,186128.56,135953.42,174992.95,160943.53,165747.25,183255.83,188235.97,162435.11,201984.81,178399.53,218699.16,202148.4,
7446,124.08710559299557,7.940907,,,,,,,,,,,29042.605,271622.22,14805.007,171222.4,88326.016,114236.91,58173.062,969941.44,93267.86,234585.97,1073790.1,125939.34,188070.83,686191.1,143715.03,8448.547,11221.527,140047.27,426841.38,427357.44,401593.0,273585.44,312616.38,353091.3,686591.56,
7367,124.0871289563084,7.4222913,,,,,,,,,,,65373.22,101895.89,198101.39,89462.75,98750.92,78812.125,212734.83,93920.53,2382347.2,152402.27,1436548.5,78102.69,1228819.2,458504.3,976292.06,96687.37,82496.42,262688.53,352923.5,449557.28,102752.69,123980.55,63485.215,221799.38,737502.7,
6870,125.5520653635568,5.2957435,,,,62,,,,,,,0,0,5007.512,5472.2627,0,4913.1655,4094.5986,49056.766,5392.4033,0,4953.082,0,56570.133,1149.0613,55895.633,56846.742,57379.285,511.6214,4882.189,5011.6387,61819.39,871.47534,1113.3687,884.40125,747.1107,
7624,125.98637593072785,8.41089,,,,21,,,,,,,321655.28,340063.16,278300.47,342926.5,323124.34,369203.44,362876.47,348705.2,338111.2,341085.4,275508.47,319037.78,282053.3,303134.47,310438.2,333378.12,302675.4,285996.03,327112.75,333837.4,327369.9,182046.14,295292.5,351400.0,353877.06,
7461,128.1183100001945,7.9536195,,,,,,,,,,,1177.5049,52748.53,998.9026,27509.309,48930.906,17867.887,18043.32,122649.66,39055.4,83387.69,215468.19,41740.52,46628.43,44339.094,33177.258,1019.64417,1136.1171,34505.94,56349.4,71870.234,36675.84,49873.125,33801.145,23215.047,42255.324,
239,130.0499366594597,0.34254983,,,,7,3,[M+H]+,,4,104;239;98;97,129.04254,4879865.0,1793369.9,2204766.2,2145909.0,4384626.5,2176280.2,1716790.6,4802423.5,2212383.2,4802203.0,1872679.2,4997757.0,2954904.0,144003.14,2599693.5,5653688.0,4903006.5,201986.81,1945542.8,1964635.6,3406173.5,132270.77,76972.45,87734.664,70736.805,
7545,130.1591496930285,8.347888,,,,107,,,,,,,157141.34,121328.625,113053.97,139339.48,151995.34,101313.26,107704.35,175285.38,160221.11,231573.75,188315.14,168062.05,174097.58,149881.14,267444.56,113555.42,134311.33,170688.39,160976.48,159298.44,242527.52,170541.27,148638.28,183036.89,217850.02,
7331,131.08158927995402,7.255401,,,,,,,,,,,9431.222,15420.286,10956.707,40053.586,43624.035,9137.681,6906.3887,14104.28,26998.863,56646.496,38259.7,394829.56,21049.096,32873.45,72806.18,24325.9,20420.857,34060.074,14377.4795,45875.2,24167.906,25936.398,39304.72,19325.621,25711.025,
7350,131.081603953624,7.297276,,,,,,,,,,,13355.971,6270.2495,20348.549,22596.73,46367.188,10254.856,12117.624,50156.586,43888.934,60581.715,49611.42,43633.05,424123.1,204126.0,479600.4,24325.9,356282.78,28654.178,14377.4795,457195.5,219990.83,18751.799,169446.52,19325.621,25711.025,
7315,131.0816465157999,7.155182,,,,,,,,,,,5974.216,253987.7,56259.32,341898.28,10847.921,20479.941,533.77,5532.634,443928.47,411044.1,26004.297,71577.95,28245.18,13115.029,10522.613,36754.156,20420.857,738.6078,1724.7241,16178.991,8830.212,6432.369,9902.783,17628.629,39258.332,
7523,131.53358849852077,8.31453,,,,,,,,,,,158633.2,688020.1,148105.31,68801.94,113081.32,36371.113,994665.06,76015.266,217634.3,33580.156,127510.19,81346.62,241853.08,93869.78,74039.22,38536.785,101396.336,210764.34,264704.75,263572.88,25363.059,253696.39,213356.25,110397.414,561471.7,
7610,131.53362607637874,8.412525,,,,21,438,[M+NH4]+,,2,7610;7580,113.49994,930948.5,859800.4,836443.4,879868.5,942313.3,906088.7,949994.2,912278.6,924407.56,907283.9,930862.94,861116.0,907503.3,959633.3,1061275.0,888453.5,1039740.25,1012598.44,933070.4,1009149.4,952124.4,923056.2,989052.94,972058.1,936778.4,
7735,131.97438080402483,8.73008,,,,,,,,,,,145029.14,147182.2,286071.75,155803.73,160312.16,255186.61,243248.98,54529.85,311959.34,127624.32,288882.2,157360.75,159681.16,159195.22,159810.27,143076.11,120061.2,162775.44,145155.38,67886.164,283125.1,158833.78,43900.26,47554.363,153815.05,
1114,132.1019561926169,0.5795928,,,,,,,,,,,5991582.0,7256772.5,644010.2,1874373.0,5885747.0,1043108.3,3.5129744E7,6645214.0,1388424.4,6764777.0,1451152.5,8797370.0,4563521.0,167909.03,5827109.5,6323205.0,5432599.5,118145.836,992690.56,1223037.5,6340024.0,78739.12,126341.65,178821.89,98375.42,
549,132.10201671398843,0.50504273,,,,201,34,[M+H]+,,2,519;549,131.09463,1.1735417E8,1.2399781E8,3.5104904E7,3.7335012E7,1.1364956E8,3.4786264E7,1.3125584E7,9.978499E7,3.820606E7,1.10900824E8,3.7687004E7,1.15677704E8,8.911796E7,5840606.5,8.881189E7,1.0512829E8,9.486989E7,5348371.0,3.7355988E7,3.6708188E7,1.0805895E8,6444953.0,6183540.0,7635290.5,6626101.0,
7611,132.53129709913182,8.412525,,,,21,,,,,,,378770.62,343811.66,325687.5,356712.62,368664.66,371891.38,782374.3,372820.03,367933.56,376417.72,382224.78,356291.75,362839.47,375110.06,416142.12,354863.03,430089.12,406309.72,370700.97,395401.75,382966.78,384100.62,399103.53,387286.97,379052.72,
129,133.03180104931297,0.34392864,,,,7,5,[M+H]+,,2,129;132,132.02452,3065190.5,3103119.2,1255195.4,1207440.8,2984427.8,1254688.4,1412307.9,2438439.0,1267356.1,3095294.8,1164634.9,3071532.2,2175765.2,529686.94,2124498.8,2691965.8,2332908.0,425736.0,1172386.8,1200748.5,2638091.0,512577.06,534933.7,607375.75,567696.7,
7337,135.07916557906054,7.2796693,,,,,,,,,,,9069.692,6992.835,11165.513,23202.531,4583.754,5883.467,6195.044,3836.7947,28471.822,60633.92,21176.615,53784.883,11449.744,10986.678,41880.188,9638.396,296176.53,6957.277,6741.127,50742.945,5472.115,10615.583,8164.978,7217.703,22499.924,
802,136.07554357982733,0.58231276,,,,,,,,,,,43932.863,73891.42,13053.779,15200.207,31104.713,17599.184,747947.3,19796.645,4082.379,45348.64,17710.967,44213.117,40035.23,14429.92,47689.344,49184.6,40300.9,13921.83,17931.172,14291.028,30961.213,16118.092,10933.311,16316.059,15083.278,
3226,136.07555556867786,1.2871139,,,,15,,,,,,,233145.64,221475.84,110031.36,83930.414,188525.45,93980.98,71613.05,133175.81,80031.32,195877.39,77030.59,213399.61,106547.664,85357.5,114959.5,142442.25,120059.945,73816.15,75274.01,75460.164,123360.75,85540.54,82407.52,93873.32,83830.375,
320,136.0756269969553,0.4053774,,,,7,,,,,,,1211764.1,1373816.0,467459.4,578404.3,1192099.9,482840.97,18666.412,1373084.9,633748.0,1222612.2,634608.4,1176081.5,1264288.5,138539.78,1313747.0,1500933.9,1267504.4,142653.4,598207.4,658995.75,1529376.0,140649.56,138821.44,195311.84,174691.03,
5174,136.07564156709057,2.0503724,,,,147,,,,,,,805.938,2489.1008,159206.05,165819.9,909.0652,148486.88,4642.214,219126.17,160052.69,4121.6104,162253.97,3766.9363,179824.06,456406.9,172772.94,212474.3,208723.33,432387.44,156628.12,172297.66,210021.86,509038.53,487404.72,535733.25,447162.34,
