id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_mzmine_results_sirius_14	C9H18N2O4	[M + H]+	C9H18N2O4	Amino acids and Peptides	0.9997528195381165	Small peptides	0.9997777342796326	Dipeptides	0.9911324381828308	Dipeptides	0.9421828389167786	Peptides	0.994312047958374	Amino acids, peptides, and analogues	0.9997692704200745	Carboxylic acids and derivatives	0.9999988079071045	Organic acids and derivatives	0.9999996423721313	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	14
2_mzmine_results_sirius_28	C11H20N4O3	[M + H3N + H]+	C11H23N5O3	Amino acids and Peptides	0.999488353729248	Small peptides	0.9994182586669922	Dipeptides	0.966798722743988	Dipeptides	0.7809886336326599	Peptides	0.9560734033584595	Amino acids, peptides, and analogues	0.9985758066177368	Carboxylic acids and derivatives	0.999927282333374	Organic acids and derivatives	0.9999841451644897	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Methyl-branched fatty acids; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	28
3_mzmine_results_sirius_33	C12H21N5O5	[M + Na]+	C12H21N5O5	Amino acids and Peptides	0.9991450309753418	Small peptides	0.9997825026512146	Dipeptides	0.990967333316803	Dipeptides	0.6714446544647217	Peptides	0.9481924176216125	Amino acids, peptides, and analogues	0.9987278580665588	Carboxylic acids and derivatives	0.9999897480010986	Organic acids and derivatives	0.9999991655349731	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	33
5_mzmine_results_sirius_45	C10H20N2O4S	[M + H]+	C10H20N2O4S	Amino acids and Peptides	0.9999380111694336	Small peptides	0.999922513961792	Dipeptides	0.9911455512046814	Dipeptides	0.9872474670410156	Peptides	0.9954816102981567	Amino acids, peptides, and analogues	0.9985816478729248	Carboxylic acids and derivatives	0.9998928308486938	Organic acids and derivatives	0.9999663829803467	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Sulfoxides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Thia fatty acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Sulfinyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	45
6_mzmine_results_sirius_55	C16H27N5O4	[M + H3N + H]+	C16H30N6O4	Amino acids and Peptides	0.9999349117279053	Small peptides	0.9897052645683289	Tripeptides	0.746829628944397	Oligopeptides	0.9891023635864258	Peptides	0.9988189339637756	Amino acids, peptides, and analogues	0.9994495511054993	Carboxylic acids and derivatives	0.9999758005142212	Organic acids and derivatives	0.9999934434890747	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Heterocyclic fatty acids; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; N-acylpyrrolidines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	55
7_mzmine_results_sirius_56	C14H28N4O5	[M + H]+	C14H28N4O5	Amino acids and Peptides	0.9999895095825195	Small peptides	0.9999552965164185	Tripeptides	0.9797549247741699	Oligopeptides	0.9974510073661804	Peptides	0.9999545812606812	Amino acids, peptides, and analogues	0.9996833801269531	Carboxylic acids and derivatives	0.9999798536300659	Organic acids and derivatives	0.9999873638153076	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	56
8_mzmine_results_sirius_57	C6H2O2	[M + H3N + H]+	C6H5NO2	Shikimates and Phenylpropanoids	0.8296815156936646	Phenolic acids (C6-C1)	0.8970451354980469	Simple phenolic acids	0.9188375473022461	Benzenoids	0.7486822605133057							Benzenoids	0.7486822605133057	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	57
9_mzmine_results_sirius_61	C6H11N3O2	[M + H3N + H]+	C6H14N4O2	Amino acids and Peptides	0.9999064207077026	Small peptides	0.9999209642410278	Aminoacids	0.9999364614486694	Alpha amino acids	0.930640697479248	Amino acids and derivatives	0.9993205070495605	Amino acids, peptides, and analogues	0.9993452429771423	Carboxylic acids and derivatives	0.9999481439590454	Organic acids and derivatives	0.9999802112579346	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	61
10_mzmine_results_sirius_66	C11H16N4O4	[M + H3N + H]+	C11H19N5O4	Amino acids and Peptides	0.9933985471725464	Small peptides	0.9798550605773926	Dipeptides	0.4798082113265991	Peptides	0.6646265387535095	Peptides	0.6646265387535095	Amino acids, peptides, and analogues	0.9838634729385376	Carboxylic acids and derivatives	0.9992732405662537	Organic acids and derivatives	0.9998462200164795	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; Pyrrolidine-2-ones; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	66
11_mzmine_results_sirius_76	C12H25N5O3	[M + H]+	C12H25N5O3	Amino acids and Peptides	0.9999086856842041	Small peptides	0.9999672174453735	Dipeptides	0.9985777139663696	Dipeptides	0.9658164978027344	Peptides	0.993689775466919	Amino acids, peptides, and analogues	0.9999173879623413	Carboxylic acids and derivatives	0.9999970197677612	Organic acids and derivatives	0.9999997615814209	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	76
