confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	1	0.9951460074954194	0.9951460074954194	-17.234712802744852	N/A	63.0370200105574	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	3-(4-hydroxyphenyl)-2-[(5-oxopyrrolidin-2-yl)formamido]propanoic acid	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.2	108102932;108102934;23422547;28203846;28203848;28203850;104904456;61152383;25796392	COCONUT:(CNP0411198);CHEBI:(191161);SUPERNATURAL:(SN0148693);PUBCHEM:(108102932 108102934 23422547 28203846 28203848 28203850 104904456 61152383 25796392);GNPS:(CCMSLIB00003135336);DSSTox:(DTXSID101312554);TRAIN	137442119714	293.11318	58.191546783447265	463_mzmine_results_sirius_2191	2191
2	1	1	1	1	0.9943228521216543	0.9943228521216543	-98.51452611746988	N/A	21.096511069261027	C10H16N2O3	[M + H]+	RWCOTTLHDJWHRS	InChI=1S/C10H16N2O3/c13-9(7-3-1-5-11-7)12-6-2-4-8(12)10(14)15/h7-8,11H,1-6H2,(H,14,15)	Pro-Pro	C1CC(NC1)C(=O)N2CCCC2C(=O)O	-2.3	103868724;7408325;146036959;92245213;78923151;61158797;61172252;263469;11622593;11902928;57309116;132526338	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0011180);BloodExposome:(57309116 263469);SUPERNATURAL:(SN0336838);MESH:(263469 11622593);PUBCHEM:(103868724 7408325 146036959 92245213 78923151 61158797 61172252 263469 11622593 11902928 57309116 132526338);FooDB:(FDB027952);COCONUT:(CNP0189934);METACYC:(CPD-23026);CHEBI:(73646);LOTUS:(Q27143817);DSSTox:(DTXSID60294761 DTXSID70720804);PUBMED	138268379246	213.12277	21.302500000000002	33_mzmine_results_sirius_185	185
3	1	1	1	1	0.99344091526136	0.99344091526136	-77.93781877403086	N/A	30.291184336057842	C12H18N4O2	[M + H]+	QYFSHTYKVAOVJM	InChI=1S/C12H18N4O2/c1-7(2)3-9-11(17)16-10(12(18)15-9)4-8-5-13-6-14-8/h5-7,9-10H,3-4H2,1-2H3,(H,13,14)(H,15,18)(H,16,17)	Cis-Cyclo-(His,Leu)	CC(C)CC1C(=O)NC(C(=O)N1)CC2=CN=CN2	0.6	101013136;14132660;6453155;44566905	COCONUT:(CNP0125082);MiMeDB:(MMDBc0018650);SUPERNATURAL:(SN0318380);MESH:(6453155);PUBCHEM:(101013136 14132660 6453155 44566905);LOTUS:(Q83077184);DSSTox:(DTXSID70203763);PUBMED	138784276550	251.15043	57.04	449_mzmine_results_sirius_2105	2105
4	1	1	1	1	0.9932458239664549	0.9932458239664549	-68.48838504236002	N/A	25.6317387000741	C10H18N2O3	[M + H]+	AWJGUZSYVIVZGP	InChI=1S/C10H18N2O3/c1-6(2)8(10(14)15)12-9(13)7-4-3-5-11-7/h6-8,11H,3-5H2,1-2H3,(H,12,13)(H,14,15)	3-methyl-2-[(pyrrolidin-2-yl)formamido]butanoic acid	CC(C)C(C(=O)O)NC(=O)C1CCCN1	0.37778893	103868894;9834351;6992339;5256474;61157158;1549380;1549381;36688517;36688519;142984;152307;79011215	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029030);BloodExposome:(152307 142984);SUPERNATURAL:(SN0017153);MESH:(142984);PUBCHEM:(103868894 9834351 6992339 5256474 61157158 1549380 1549381 36688517 36688519 142984 152307 79011215);FooDB:(FDB112038);GNPS:(CCMSLIB00003136176 CCMSLIB00003139200);COCONUT:(CNP0371921);CHEBI:(74800);LOTUS:(Q27144911);DSSTox:(DTXSID90942662);PUBMED	138268381294	215.13936	27.501204833984374	105_mzmine_results_sirius_495	495
5	1	1	1	1	0.9927880549243124	0.9927880549243124	-112.81615546144509	N/A	69.80765579468189	C15H23N3O4	[M + H]+	MYTOTTSMVMWVJN	InChI=1S/C15H23N3O4/c16-8-2-1-3-12(17)14(20)18-13(15(21)22)9-10-4-6-11(19)7-5-10/h4-7,12-13,19H,1-3,8-9,16-17H2,(H,18,20)(H,21,22)	(S)-2-((S)-2,6-Diaminohexanamido)-3-(4-hydroxyphenyl)Propanoic acid	C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCCCN)N)O	-0.17188627	14693924;67009850;7021819;7021820	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0028963);CHEBI:(73608);SUPERNATURAL:(SN0238976);PUBCHEM:(14693924 67009850 7021819 7021820);FooDB:(FDB111986);LOTUS:(Q27141917);DSSTox:(DTXSID50427405);PUBMED	138262085738	310.17571	20.968338220119477	32_mzmine_results_sirius_183	183
6	1	1	1	1	0.9925849878515045	0.9925849878515045	-4.018393077208034	N/A	145.0524625939979	C9H17NO5	[M + H]+	GHOKWGTUZJEAQD	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	Pantothenate	CC(C)(CO)C(C(=O)NCCC(=O)O)O	-1.1	101257666;6997253;163322206;5191579;163581050;5748353;153694116;153694117;153706517;988;6613;167945;133686971;90479988;57074123;71310749	PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(6613);GNPS:(CCMSLIB00003137028);METACYC:(PANTOTHENATE);CHEBI:(46905 7916 16454 29032);KEGG:(C00864);LOTUS:(Q179894 Q63390527);DSSTox:(DTXSID4047173 DTXSID7047229 DTXSID901014233 DTXSID9023417);PUBCHEMANNOTATIONDRUG;KNAPSACK:(GHOKWGTUZJEAQD-UHFFFAOYSA-N);PUBCHEMANNOTATIONFOOD;PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000210 HMDB0250782);MiMeDB:(MMDBc0000069);BloodExposome:(5748353 988 6613);mycustomdb;HSDB:(79-83-4 867-81-2);SUPERNATURAL:(SN0105946);PUBCHEM:(101257666 6997253 163322206 5191579 163581050 5748353 153694116 153694117 153706517 988 6613 167945 133686971 90479988 57074123 71310749);FooDB:(FDB008322 FDB030151);TRAIN;NORMAN:(NS00013937 NS00069968 NS00069969 NS00079867);COCONUT:(CNP0153142);PLANTCYC:(PANTOTHENATE);YMDB:(YMDB00203);PUBMED	139577482110	220.11817	47.053539602160456	327_mzmine_results_sirius_1647	1647
7	1	1	1	1	0.9924699647553296	0.9924699647553296	-83.91695402896103	N/A	46.65207757207329	C10H16N2O3	[M + H]+	RWCOTTLHDJWHRS	InChI=1S/C10H16N2O3/c13-9(7-3-1-5-11-7)12-6-2-4-8(12)10(14)15/h7-8,11H,1-6H2,(H,14,15)	Pro-Pro	C1CC(NC1)C(=O)N2CCCC2C(=O)O	-2.3	103868724;7408325;146036959;92245213;78923151;61158797;61172252;263469;11622593;11902928;57309116;132526338	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0011180);BloodExposome:(57309116 263469);SUPERNATURAL:(SN0336838);MESH:(263469 11622593);PUBCHEM:(103868724 7408325 146036959 92245213 78923151 61158797 61172252 263469 11622593 11902928 57309116 132526338);FooDB:(FDB027952);COCONUT:(CNP0189934);METACYC:(CPD-23026);CHEBI:(73646);LOTUS:(Q27143817);DSSTox:(DTXSID60294761 DTXSID70720804);PUBMED	138268379246	213.1236	34.02376791477204	173_mzmine_results_sirius_831	831
8	1	1	1	1	0.9923729886175235	0.9923729886175235	-115.22138518817769	N/A	59.595565318776536	C14H18N2O6	[M + H]+	PDSLRCZINIDLMU	InChI=1S/C14H18N2O6/c15-10(7-8-1-3-9(17)4-2-8)13(20)16-11(14(21)22)5-6-12(18)19/h1-4,10-11,17H,5-7,15H2,(H,16,20)(H,18,19)(H,21,22)	Tyrosylglutamic acid	C1=CC(=CC=C1CC(C(=O)NC(CCC(=O)O)C(=O)O)N)O	-0.39273712	19816750;7009627;7009628;10149652	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029104);BloodExposome:(19816750);CHEBI:(74883);SUPERNATURAL:(SN0282677);PUBCHEM:(19816750 7009627 7009628 10149652);FooDB:(FDB112108);DSSTox:(DTXSID00600266 DTXSID201311892);TRAIN;PUBMED	137997860970	311.12382	23.868904266462195	65_mzmine_results_sirius_310	310
9	1	1	1	1	0.992322886974609	0.992322886974609	-109.32453472831817	N/A	54.48384928059244	C14H18N2O6	[M + H]+	PDSLRCZINIDLMU	InChI=1S/C14H18N2O6/c15-10(7-8-1-3-9(17)4-2-8)13(20)16-11(14(21)22)5-6-12(18)19/h1-4,10-11,17H,5-7,15H2,(H,16,20)(H,18,19)(H,21,22)	Tyrosylglutamic acid	C1=CC(=CC=C1CC(C(=O)NC(CCC(=O)O)C(=O)O)N)O	-0.39273712	19816750;7009627;7009628;10149652	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029104);BloodExposome:(19816750);CHEBI:(74883);SUPERNATURAL:(SN0282677);PUBCHEM:(19816750 7009627 7009628 10149652);FooDB:(FDB112108);DSSTox:(DTXSID00600266 DTXSID201311892);TRAIN;PUBMED	137997860970	311.12385	48.73	347_mzmine_results_sirius_1729	1729
10	1	1	1	1	0.9921717568237363	0.9921717568237363	-14.59976887434991	N/A	63.35625970661114	C14H16N2O4	[M + H]+	XCEZCXFVJLMPKG	InChI=1S/C14H16N2O4/c17-12-7-6-10(15-12)13(18)16-11(14(19)20)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8H2,(H,15,17)(H,16,18)(H,19,20)	2-[(5-oxopyrrolidin-2-yl)formamido]-3-phenylpropanoic acid	C1CC(=O)NC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	0.6	103804333;40428046;28214674;28214676;7408330;7408331;61137305;13961383;106832122;106832124	COCONUT:(CNP0187663);CHEBI:(191160);SUPERNATURAL:(SN0426203);PUBCHEM:(103804333 40428046 28214674 28214676 7408330 7408331 61137305 13961383 106832122 106832124);GNPS:(CCMSLIB00003137591 CCMSLIB00003135167);TRAIN	3166242	277.11872	91.57276385128498	857_mzmine_results_sirius_3905	3905
