formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	featureId
1	C9H18N2O4	[M + H]+	C9H19N2O4+	38.171	33.507	4.664	8	0.997	4.264	4.264	0.235		219.134	20	567749660631298519	567749454112148954	14
1	C11H23N5O3	[M + H]+	C11H24N5O3+	90.333	90.333	0.000	34	0.997	-0.168	1.549	-0.662		274.187	22	567749695871841810	567749454275726814	28
1	C12H21N5O5	[M + Na]+	C12H21N5NaO5+	29.940	29.940	0.000	20	0.937	0.965	1.079	-0.879		338.143	19	567749669149930142	567749454372195810	33
1	C12H21N5O5	[M + K]+	C12H21KN5O5+	1.980	1.980	0.000	0	0.000	0.249	0.249	-1.537		354.117	19	567749663454065153	567749454451887590	37
1	C10H20N2O4S	[M + H]+	C10H21N2O4S+	45.229	41.653	3.576	15	0.985	4.262	6.778	0.805		265.122	20	567749657737228665	567749454531579370	45
1	C16H30N6O4	[M + H]+	C16H31N6O4+	46.451	46.451	0.000	21	1.000	0.550	2.340	-1.259		371.240	20	567749662992691702	567749454649019886	55
1	C14H28N4O5	[M + H]+	C14H29N4O5+	66.994	63.564	3.430	23	1.000	1.239	1.481	0.011		333.213	20	567749658769027489	567749454741294578	56
1	C6H5NO2	[M + H]+	C6H6NO2+	19.023	19.023	0.000	6	0.991	6.195	6.195	1.076		124.039	20	567749672371155714	567749454854540790	57
1	C6H14N4O2	[M + H]+	C6H15N4O2+	53.428	50.818	2.611	10	1.000	2.110	2.110	-0.640		175.119	20	567749659435921848	567749454925843962	61
1	C11H19N5O4	[M + H]+	C11H20N5O4+	111.333	111.333	0.000	43	0.975	0.919	1.326	-0.617		286.151	19	567749667874861704	567749454988758526	66
1	C12H25N5O3	[M + H]+	C12H26N5O3+	82.810	77.989	4.820	32	0.983	0.834	3.069	-1.117		288.203	20	567749665660269124	567749455051673090	76
1	C9H19N3O2	[M + H]+	C9H20N3O2+	41.126	38.824	2.302	11	1.000	0.836	2.072	-1.142		202.155	20	567749658022441348	567749455127170566	80
1	C6H13NO9S2	[M - H4O2 + H]+	C6H10NO7S2+	23.368	23.368	0.000	5	0.962	9.850	9.850	-132430.952		271.990	20	567749670508884682	567749455181696522	85
1	C5H7NO3	[M + Na]+	C5H7NNaO3+	1.914	1.914	0.000	0	0.000	1.363	1.363	0.271		152.032	19	567749656860619112	567749455248805390	98
1	C14H23N3O8	[M + H]+	C14H24N3O8+	88.953	88.953	0.000	27	0.957	2.141	2.394	0.949		362.156	22	567749670781514453	567749455332691474	99
1	C5H8O2S	[M + H]+	C5H9O2S+	83.412	78.728	4.684	17	0.970	8.183	8.183	0.165		133.032	21	567749665979036250	567749455475297818	129
1	C5H11NO2S	[M + H]+	C5H12NO2S+	79.813	75.014	4.799	15	0.999	5.346	5.346	0.089		150.058	21	567749677391737799	567749455626292770	132
1	C5H11NO2S	[M + Na]+	C5H11NNaO2S+	25.994	25.994	0.000	7	0.379	7.777	7.777	-0.815		172.040	20	567749654180458808	567749455676624422	134
1	C8H16N2O3	[M + H]+	C8H17N2O3+	43.481	43.481	0.000	9	0.998	4.514	4.514	-1.124		189.123	21	567749673004495650	567749455722761770	144
1	C11H14N4O3	[M + H]+	C11H15N4O3+	75.338	72.578	2.761	19	0.864	0.724	1.459	1.482		251.114	20	567749659855352256	567749455773093422	145
1	C12H21N5O5	[M + H]+	C12H22N5O5+	70.580	65.369	5.210	18	0.998	0.240	1.433	-0.997		316.161	19	567749658408317332	567749455819230770	148
1	C9H18N2O4S	[M + H]+	C9H19N2O4S+	38.881	35.577	3.303	10	0.958	3.725	4.232	-2.696		251.105	21	567749664112570912	567749455886339638	154
1	C8H13NO5	[M + Na]+	C8H13NNaO5+	10.482	7.593	2.889	4	0.621	2.167	2.167	-0.333		226.069	21	567749664913682989	567749455953448506	159
1	C11H17N3O2	[M + H]+	C11H18N3O2+	84.316	81.862	2.454	26	0.977	0.789	2.436	-0.792		224.139	21	567749662074139114	567749456012168766	167
1	C15H23N5O4	[M + H]+	C15H24N5O4+	81.191	75.576	5.615	32	0.974	0.906	2.266	-1.041		338.182	23	567749682018055218	567749456075083330	169
1	C10H16N2O5	[M + H]+	C10H17N2O5+	70.007	70.007	0.000	13	0.974	1.355	1.842	-0.053		245.113	20	567749676208944005	567749456142192198	170
1	C6H11NO4	[M + Na]+	C6H11NNaO4+	15.452	14.171	1.282	2	0.339	0.367	0.367	0.117		184.058	20	567749690729624894	567749456192523850	173
1	C10H18N2O5	[M + Na]+	C10H18N2NaO5+	50.154	47.287	2.866	15	0.923	5.469	5.469	4.309		269.112	21	567749661222695391	567749456268021326	174
1	C11H12N4O2	[M + H]+	C11H13N4O2+	49.672	49.672	0.000	18	0.872	-0.624	2.591	-1.939		233.103	21	567749676146029434	567749456318352978	178
1	C15H23N3O4	[M + H]+	C15H24N3O4+	69.808	69.808	0.000	23	0.979	1.595	1.664	-0.876		310.176	21	567749673419731763	567749456377073238	183
1	C10H16N2O3	[M + H]+	C10H17N2O3+	21.097	18.517	2.579	4	0.994	-0.551	2.800	-2.059		213.123	21	567749654948016448	567749456456765018	185
1	C12H20N4O3	[M + Na]+	C12H20N4NaO3+	37.071	33.920	3.150	8	0.889	-0.838	1.203	-1.653		291.142	21	567749656336331083	567749456507096670	190
1	C16H32N6O4	[M + H]+	C16H33N6O4+	54.044	54.044	0.000	23	0.994	1.013	2.091	-0.225		373.256	21	567749659897295306	567749456565816930	196
1	C10H18N2O5	[M + H]+	C10H19N2O5+	86.777	86.777	0.000	23	0.993	1.571	2.227	-0.075		247.129	22	567749666855645810	567749456624537190	197
1	C8H13NO4	[M + H]+	C8H14NO4+	72.284	72.284	0.000	15	0.923	7.143	7.143	1.147		188.092	21	567749670215283380	567749456679063146	198
1	C12H25N3O3	[M + H]+	C12H26N3O3+	73.000	73.000	0.000	16	0.992	0.961	3.634	0.007		260.197	22	567749656617349473	567749456729394798	200
1	C6H16N3O4	[M + H]+	C6H17N3O4+	71.723	71.723	0.000	10	0.912	6.193	6.193	8.444		195.123	22	567749659259761069	567749456783920754	202
1	C9H16N2O4	[M + H]+	C9H17N2O4+	114.209	112.382	1.827	30	0.990	3.136	3.385	-0.761		217.118	22	567749658081161610	567749456842641014	207
1	C7H14N2O3	[M + H]+	C7H15N2O3+	49.899	47.681	2.218	11	0.970	-0.164	8.421	-2.049		175.107	21	567749691388130655	567749456897166970	215
1	C8H16N3O2	[M + H]+	C8H17N3O2+	41.620	41.620	0.000	16	0.807	4.009	4.009	0.357		187.132	22	567749663697334796	567749456947498622	223
1	C10H18N2O5S	[M + H]+	C10H19N2O5S+	72.517	72.517	0.000	14	0.975	2.120	2.732	-0.385		279.101	23	567749685088285887	567749456997830274	229
1	C12H21N3O4	[M + H]+	C12H22N3O4+	56.157	56.157	0.000	14	0.777	0.709	2.420	-0.800		272.160	23	567749665895150159	567749457052356230	230
1	C9H15NO3	[M + H]+	C9H16NO3+	51.630	51.630	0.000	10	0.993	2.842	7.127	-0.332		186.112	22	567749668977963667	567749457119465098	231
1	C6H11N3O2	[M + H]+	C6H12N3O2+	61.143	61.143	0.000	14	0.965	2.500	2.500	-0.396		158.092	22	567749666339746408	567749457161408142	234
1	C5H7NO3	[M + H]+	C5H8NO3+	37.275	34.731	2.544	5	0.989	6.640	6.640	0.122		130.050	20	567749676636763039	567749457207545490	239
1	C8H16N2O4	[M + Na]+	C8H16N2NaO4+	18.973	17.545	1.428	6	0.878	1.099	1.779	-1.362		227.100	22	567749656340525397	567749457257877142	243
1	C17H32N4O4	[M + H]+	C17H33N4O4+	43.906	43.906	0.000	11	0.998	-1.102	3.330	-1.808		357.249	24	567749684849210541	567749457312403098	246
1	C12H25N3O3	[M + Na]+	C12H25N3NaO3+	20.258	16.848	3.410	4	1.000	0.654	1.404	-0.655		282.179	24	567749685037954232	567749457362734750	248
