structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	featureId
1	1	0.7394089377656918	0.7394089377656918	-15.718745859256916	nul	38.171	C9H18N2O4	[M + H]+	C9H19N2O4+	GVRKWABULJAONN	InChI=1S/C9H18N2O4/c1-4(2)6(10)8(13)11-7(5(3)12)9(14)15/h4-7,12H,10H2,1-3H3,(H,11,13)(H,14,15)	Val-Thr	CC(C)C(C(=O)NC(C(C)O)C(=O)O)N	-0.997	4046492;9815826;124306824;124422925;156908028;92259306;92259307;104965309;61156961;79012809	COCONUT:(CNP0292075);PUBCHEMANNOTATIONBIO;HMDB:(HMDB0029137);CHEBI:(90330 177280);SUPERNATURAL:(SN0116579);PUBCHEM:(4046492 9815826 124306824 124422925 156908028 92259306 92259307 104965309 61156961 79012809);FooDB:(FDB112138)	556793898	219.134	20	567749660631298519	567749454112148954	14
1	1	0.6045538213666652	0.6045538213666652	-54.16499976842538	nul	90.333	C11H23N5O3	[M + H]+	C11H24N5O3+	DAQIJMOLTMGJLO	InChI=1S/C11H23N5O3/c1-6(2)8(10(18)19)16-9(17)7(12)4-3-5-15-11(13)14/h6-8H,3-5,12H2,1-2H3,(H,16,17)(H,18,19)(H4,13,14,15)	2-{2-amino-5-[(diaminomethylidene)amino]pentanamido}-3-methylbutanoic acid	CC(C)C(C(=O)O)NC(=O)C(CCCN=C(N)N)N	-1.217	4278572;6992653;6992654;154470066;140711172;92147109;92147110;92147111;335257	COCONUT:(CNP0347645);HMDB:(HMDB0028722);BloodExposome:(335257);CHEBI:(73823);SUPERNATURAL:(SN0060657);MESH:(335257 6992654);PUBCHEM:(4278572 6992653 6992654 154470066 140711172 92147109 92147110 92147111 335257);FooDB:(FDB111779);LOTUS:(Q27144140);DSSTox:(DTXSID20426329);PUBMED	138251608174	274.187	22	567749695871841810	567749454275726814	28
1	1	0.22594428538654715	0.22594428538654715	-262.09995126153285	nul	29.940	C12H21N5O5	[M + Na]+	C12H21N5NaO5+	KLQXKYZBJWERSF	InChI=1S/C12H21N5O5/c1-6(18)16-8(3-5-10(14)20)12(22)17-7(11(15)21)2-4-9(13)19/h7-8H,2-5H2,1H3,(H2,13,19)(H2,14,20)(H2,15,21)(H,16,18)(H,17,22)	N-Acetylglutaminylglutamine amide	CC(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)N	-3.033	22673233;129914	PUBCHEMANNOTATIONBIO;METACYC:(CPD-14436);CHEBI:(177714);MESH:(129914);PUBCHEM:(22673233 129914);DSSTox:(DTXSID60924399);PUBCHEMANNOTATIONDRUG;PUBMED	137489287270	338.143	19	567749669149930142	567749454372195810	33
1	1	0.9463294036854994	0.9463294036854994	-54.24668197345446	nul	45.229	C10H20N2O4S	[M + H]+	C10H21N2O4S+	IWVIMZWOKNCJOY	InChI=1S/C10H20N2O4S/c1-6(2)8(11)9(13)12-7(10(14)15)4-5-17(3)16/h6-8H,4-5,11H2,1-3H3,(H,12,13)(H,14,15)	2-(2-amino-3-methylbutanamido)-4-methanesulfinylbutanoic acid	CC(C)C(C(=O)NC(CCS(=O)C)C(=O)O)N	-1.310	91746311	SUPERNATURAL:(SN0157389);COCONUT:(CNP0347436);PUBCHEM:(91746311)	3145730	265.122	20	567749657737228665	567749454531579370	45
1	1	0.4164150392789263	0.4164150392789263	-118.90376688317437	nul	46.451	C16H30N6O4	[M + H]+	C16H31N6O4+	YTNGABPUXFEOGU	InChI=1S/C16H30N6O4/c1-9(2)12(17)14(24)22-8-4-6-11(22)13(23)21-10(15(25)26)5-3-7-20-16(18)19/h9-12H,3-8,17H2,1-2H3,(H,21,23)(H,25,26)(H4,18,19,20)	Valylprolylarginine	CC(C)C(C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)O)N	-1.043	10248593;18232480	PUBCHEM:(10248593 18232480);CHEBI:(166336)	34	371.240	20	567749662992691702	567749454649019886	55
1	1	0.4703206877096406	0.4703206877096406	-86.05209434144759	nul	66.994	C14H28N4O5	[M + H]+	C14H29N4O5+	QTPQHINADBYBNA	InChI=1S/C14H28N4O5/c1-8(2)11(16)13(21)18-10(7-19)12(20)17-9(14(22)23)5-3-4-6-15/h8-11,19H,3-7,15-16H2,1-2H3,(H,17,20)(H,18,21)(H,22,23)	6-amino-2-[2-(2-amino-3-methylbutanamido)-3-hydroxypropanamido]hexanoic acid	CC(C)C(C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)O)N	-1.889	18232509;71350297	SUPERNATURAL:(SN0314873);COCONUT:(CNP0219005);PUBCHEM:(18232509 71350297);DSSTox:(DTXSID70776104);CHEBI:(166364)	137442099234	333.213	20	567749658769027489	567749454741294578	56
1	1	0.4217601968602549	0.7961748324102108	-15.075979443988613	nul	19.023	C6H5NO2	[M + H]+	C6H6NO2+	PVNIIMVLHYAWGP	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	Niacin	C1=CC(=CN=C1)C(=O)O	0.386	21829311;21829312;22172455;76972985;76974721;154061072;58302152;58302155;162641898;160321444;644263;153694052;153694904;131709065;45040022;937;938;46782473;46782474;46782475;117629482;12198448	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0001488);MiMeDB:(MMDBc0000198 MMDBc0054606);BloodExposome:(71558 23687810 938 23686395 937);PUBCHEMANNOTATIONSAFETYANDTOXIC;HSDB:(59-67-6);SUPERNATURAL:(SN0296292 SN0296293);MESH:(937 938);PUBCHEM:(21829311 21829312 22172455 76972985 76974721 154061072 58302152 58302155 162641898 160321444 644263 153694052 153694904 131709065 45040022 937 938 46782473 46782474 46782475 117629482 12198448);FooDB:(FDB001014);GNPS:(CCMSLIB00003137875);NORMAN:(NS00003500 NS00078851 NS00085846 NS00089054);COCONUT:(CNP0319168);METACYC:(NIACINE);CHEBI:(32544 15940 145116);PLANTCYC:(NIACINE);KEGG:(C00253);YMDB:(YMDB00224);LOTUS:(Q134658);DSSTox:(DTXSID00480080 DTXSID10167855 DTXSID10189855 DTXSID1020932 DTXSID10719419 DTXSID2060911 DTXSID30349353 DTXSID4044955 DTXSID40676066 DTXSID50202158 DTXSID80662145 DTXSID80676065);PUBCHEMANNOTATIONDRUG;KNAPSACK:(PVNIIMVLHYAWGP-UHFFFAOYSA-N);PUBMED;PUBCHEMANNOTATIONFOOD	139577473918	124.039	20	567749672371155714	567749454854540790	57
1	1	0.9455736541577233	0.9574436454006744	-59.98749226273036	nul	53.428	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);PUBCHEMANNOTATIONSAFETYANDTOXIC;HSDB:(74-79-3);SUPERNATURAL:(SN0262438);MESH:(6322 5287702);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);FooDB:(FDB002257 FDB011914 FDB023167);GNPS:(CCMSLIB00003136581);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);COCONUT:(CNP0257247);METACYC:(CPD0-2700 CPD-220);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);PLANTCYC:(ARG);KEGG:(C00792 C02385 C00062);YMDB:(YMDB00592);LOTUS:(Q27076987 Q173670 Q27104032);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);PUBCHEMANNOTATIONDRUG;KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N);PUBMED;PUBCHEMANNOTATIONFOOD	139577473918	175.119	20	567749659435921848	567749454925843962	61
1	1	0.9888939737941022	0.9888939737941022	-108.43395635905736	nul	111.333	C11H19N5O4	[M + H]+	C11H20N5O4+	LZXDAAFZBSZISC	InChI=1S/C11H19N5O4/c12-11(13)14-5-1-2-7(10(19)20)16-9(18)6-3-4-8(17)15-6/h6-7H,1-5H2,(H,15,17)(H,16,18)(H,19,20)(H4,12,13,14)	Arginylpyroglutamate	C1CC(=O)NC1C(=O)NC(CCCN=C(N)N)C(=O)O	-2.200	9947749;156316271;7302494;7302495;7302496;3103038;171565	MESH:(171565);PUBCHEM:(9947749 156316271 7302494 7302495 7302496 3103038 171565);DSSTox:(DTXSID60205711);PUBMED	137438953542	286.151	19	567749667874861704	567749454988758526	66
1	1	0.507632860305505	0.6263282839254747	-113.03363418027209	nul	82.810	C12H25N5O3	[M + H]+	C12H26N5O3+	HYXQKVOADYPQEA	InChI=1S/C12H25N5O3/c1-3-7(2)9(13)10(18)17-8(11(19)20)5-4-6-16-12(14)15/h7-9H,3-6,13H2,1-2H3,(H,17,18)(H,19,20)(H4,14,15,16)		CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)N	-0.768	9900561;7021813;7021814;133126619	COCONUT:(CNP0449060);HMDB:(HMDB0028901);BloodExposome:(9900561);CHEBI:(74061);SUPERNATURAL:(SN0139245);PUBCHEM:(9900561 7021813 7021814 133126619);FooDB:(FDB111930);GNPS:(CCMSLIB00003139069);LOTUS:(Q27144374)	9402593322	288.203	20	567749665660269124	567749455051673090	76
