feature_id	feature_mz	feature_rt	feature_spectrum_entropy	feature_pred_tax_cla_01kin_val	feature_pred_tax_cla_01kin_score	feature_pred_tax_cla_02sup_val	feature_pred_tax_cla_02sup_score	feature_pred_tax_cla_03cla_val	feature_pred_tax_cla_03cla_score	feature_pred_tax_cla_04dirpar_val	feature_pred_tax_cla_04dirpar_score	feature_pred_tax_npc_01pat_val	feature_pred_tax_npc_01pat_score	feature_pred_tax_npc_02sup_val	feature_pred_tax_npc_02sup_score	feature_pred_tax_npc_03cla_val	feature_pred_tax_npc_03cla_score	component_id	candidate_spectrum_entropy	candidate_structure_molecular_formula	candidate_count_sirius_peaks_explained	candidate_score_sirius_intensity	candidate_score_sirius_isotope	candidate_score_sirius_sirius	candidate_score_sirius_tree	candidate_score_sirius_confidence	candidate_score_sirius_csi	candidate_library	candidate_count_similarity_peaks_matched	candidate_score_similarity	candidate_structure_name	candidate_structure_exact_mass	candidate_structure_xlogp	candidate_structure_inchikey_no_stereo	candidate_structure_smiles_no_stereo	candidate_structure_tax_cla_chemontid	candidate_structure_tax_cla_01kin	candidate_structure_tax_cla_02sup	candidate_structure_tax_cla_03cla	candidate_structure_tax_cla_04dirpar	candidate_structure_tax_npc_01pat	candidate_structure_tax_npc_02sup	candidate_structure_tax_npc_03cla	candidate_structure_organism_occurrence_closest	candidate_structure_organism_occurrence_reference	candidate_structure_error_mz	candidate_structure_error_rt	rank_initial	rank_final	score_initial	score_biological	score_chemical	score_final
14	219.1337581623603	0.38713625	1.35212531018975			Organic acids and derivatives	0.9999996423721313	Carboxylic acids and derivatives	0.9999988079071045	Dipeptides	0.9421828389167786	Amino acids and Peptides	0.9997528195381165	Small peptides	0.9997777342796326	Dipeptides	0.9911324381828308	1		C9H18N2O4	9	0.9974136728680781	4.663960587395867	38.17058568128057	33.5066250938847	0.773351335630144	-15.718745859256916	SIRIUS			Val-Thr	219.13393	-0.99657	GVRKWABULJAONN	CC(C)C(C(=O)NC(C(C)O)C(=O)O)N											0.000256491909453871		1	1	0.636183070172288	0	0	0.212061023390763
28	274.1871228439493	0.36867714	1.11699710859334			Organic acids and derivatives	0.9999841451644897	Carboxylic acids and derivatives	0.999927282333374	Dipeptides	0.7809886336326599	Amino acids and Peptides	0.999488353729248	Small peptides	0.9994182586669922	Dipeptides	0.966798722743988	1	3.50840035646448	C11H23N5O3								ISDB	21	0.345558285713196	Valyl-arginine	273.18009	-1.19763	IBIDRSSEHFLGSD	CC(C)C(N)C(=O)NC(CCCNC(=N)N)C(=O)O	0004830	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Dipeptides	Amino acids and Peptides	Small peptides	Dipeptides			0.000265596000019741		1	1	0.345558285713196	0	1	0.281352261403898
33	338.1433765955217	0.3279846	2.59052337796921			Organic acids and derivatives	0.9999991655349731	Carboxylic acids and derivatives	0.9999897480010986	Dipeptides	0.6714446544647217	Amino acids and Peptides	0.9991450309753418	Small peptides	0.9997825026512146	Dipeptides	0.990967333316803	1	3.48567192760622	C12H24N3O6P								ISDB	4	0		337.14027	-0.9119	QPHOLMMRCUCRIL	CCC(NC(=O)C(C)NC(=O)C(N)CCP(C)(=O)O)C(=O)O	0004831	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Oligopeptides	Amino acids and Peptides	Small peptides	Tripeptides	Bacteria		0.00414811799993231		17	1	0	0.1	1	0.216216216216216
36	653.2971253037279	0.31866628	2.49541129378809	Organic compounds	0	Lipids and lipid-like molecules	0	Prenol lipids	0	Triterpenoids	0	Terpenoids	0	Polyethers	0	Oxasqualenoids	0	1	4.75887607247902	C30H53BrO10								ISDB	2	0	1-[6-(5-Bromo-2,6,6-trimethyloxan-2-yl)-3-hydroxy-3-methyloxan-2-yl]-2,4,7-trihydroxy-4-(hydroxymethyl)-7-[5-(2-hydroxypropan-2-yl)-2-methyloxolan-2-yl]heptan-3-one	652.28221	2.2894	GBLZVGGKEKPKSR	CC(C)(O)C1CCC(C)(C(O)CCC(O)(CO)C(=O)C(O)CC2OC(C3(C)CCC(Br)C(C)(C)O3)CCC2(C)O)O1	0001553	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Terpenoids	Polyethers	Oxasqualenoids			-0.00761400399983359		1	1	0	0	1	0.166166166166166
37	354.1165501766299	0.34753892	2.14452756047153	Organic compounds	0.138140347109837	Organic acids and derivatives	0.103605260332378	Carboxylic acids and derivatives	0.103605260332378	dummy	0.102832199395204	Amino acids and Peptides	0.103605260332378	Small peptides	0.103605260332378	dummy	0.102832199395204																																				
45	265.1217708689548	0.32808536	2.59641547186903			Organic acids and derivatives	0.9999663829803467	Carboxylic acids and derivatives	0.9998928308486938	Dipeptides	0.9872474670410156	Amino acids and Peptides	0.9999380111694336	Small peptides	0.999922513961792	Dipeptides	0.9911455512046814	1	4.07994485915132	C13H16N2O4								ISDB	6	0.024439599364996	3-(1-Hydroxyethyl)-6-[(4-hydroxyphenyl)methyl]piperazine-2,5-dione	264.11101	-0.7013	KVURITOIYMCUIA	CC(O)C1NC(=O)C(Cc2ccc(O)cc2)NC1=O	0000060	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Alpha amino acids and derivatives	Alkaloids $ Amino acids and Peptides	Peptide alkaloids	Simple diketopiperazine alkaloids			-0.00351700800001709		3	1	0.024439599364996	0	0.75	0.13277115774629
46	287.1032051733018	0.32828018	1.01833918906975	dummy	0.0522497898282983	dummy	0.0522497898282983	dummy	0.0522497898282983	Beta amino acids and derivatives	0.12048239790385	dummy	0.0522497898282983	dummy	0.0522497898282983	Simple amide alkaloids	0.12048239790385	1	||||||||||||||||||||||||||||||||||||||||	C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5|C18H26O5	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)|[1M+(K)1]1+ + (C2H3N)1 - C5H9NO2 (proline)	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	Colletorin A|(1S,5R)-5-hydroxy-2-[(1E,3Z)-7-hydroxy-3-methylocta-1,3-dienyl]-1,3-dimethyl-4-oxocyclohex-2-ene-1-carboxylic acid||Cytosporone B||Oblongolide M|Hexanoic acid 3-(3,4,5-trimethoxyphenyl)allyl ester|8-Hydroxy-1,10,13,13-tetramethyl-6-methylidene-4,12,14-trioxatetracyclo[9.3.2.02,10.03,7]hexadecan-5-one|methyl 4-acetyloxy-7-formyl-1,3,3,6-tetramethyl-3a,4,5,6-tetrahydro-2H-indene-1-carboxylate|[7a-(hydroxymethyl)-4,4-dimethyl-2-oxo-3a,5-dihydro-3H-1-benzofuran-5-yl] 3,4-dimethylpent-3-enoate||||(11-Methoxy-3,3-dimethyl-12-methylidenespiro[10-oxatricyclo[6.4.0.02,4]dodecane-7,2'-oxirane]-9-yl) acetate|(9a-methoxy-3,4a,5-trimethyl-2-oxo-5,6,7,8,8a,9-hexahydro-4H-benzo[f][1]benzofuran-8-yl) acetate||2-(3a-hydroxy-6,9a,9b-trimethyl-3,7-dioxo-2,4,5,5a,8,9-hexahydro-1H-cyclopenta[a]naphthalen-6-yl)acetic acid||Ralgro|[2-(3,4-Dihydroxyphenyl)-6-pentyloxan-4-yl] acetate|||2-[(4-Hydroxy-1,3-dihydro-2-benzofuran-1-yl)methyl]-5-pentyloxolane-3,4-diol|||1-(6,8-dihydroxy-3,4,5-trimethyl-3,4-dihydro-1H-isochromen-1-yl)-4-hydroxy-4-methylpentan-2-one|6-[(1E,7E)-9,10-dihydroxyundeca-1,7-dienyl]-4-methoxy-3-methylpyran-2-one|3-heptyl-6,8-dihydroxy-5-methyl-3,4-dihydro-1H-isochromene-7-carboxylic acid|10,12-Dihydroxy-3-(4-hydroxypentyl)-3,4,5,6,7,8-hexahydro-2-benzoxecin-1-one|||||||12-Hydroxy-7-(2-methoxypropan-2-yl)-4-methyl-3,14-dioxatetracyclo[10.2.1.02,10.04,8]pentadec-2(10)-en-11-one||O-nonanyl-2-acetyloxy-4-hydroxybenzoate||4-[(3,7-Dimethyl-5-oxooctyl)oxy]-3-hydroxybenzoic acid methyl ester|Ethylleptol A	322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802|322.17802	2.61952|2.391|2.391|3.7466|2.0567|2.0821|3.8491|2.1753|2.6788|2.5348|2.3907|2.0567|2.4889|2.5019|2.9803|2.3907|2.3469|2.3671|3.2908|3.8299|2.3433|2.5351|2.4231|3.591|2.3446|3.08972|2.82832|3.90622|3.2908|3.619|2.0657|1.8277|1.924|2.0657|2.2283|1.9734|2.4889|4.2249|2.5332|3.5891|3.9941	QXFKEGZSZLPBGD|WSFMVMPSUONAQN|NGDSPTQNQIZYJQ|UVVWQQKSNZLUQA|KKYKYAWAXUYVNI|ALEQYCIAROKCCP|FQNLEEGNEOPYSJ|MPESEXBLPDDBBO|DTOKLDYIEIAPKT|MEOOEKUHUBRFQB|YXLDUNKSSNXPBW|RCTWTLLXFFMFNY|YVLSHRWZRCIYQN|LKBSAEYPXLKMFU|CWJWCSSMECXYLO|ZFBZAFWTJHEGPW|PUZKHWFCLGKPQB|OUNHCWAUMMAFGK|DWTTZBARDOXEAM|LXRSVXSQQNRRCE|DZTHODQMFYKLTC|CFZKNIXHYHMVFM|HATQJIUAKKJSOC|LWTUGOFNMHZSMW|HSFABKAOIGPKRQ|AUMRYRUPFUTXDO|NOGDADGYWXZDNF|SNWYHMYDWIFBON|CMXQTUPPTYYGBR|NPFKPEKVRYCISJ|UPYNJRPEKOAWTJ|TZMOYZTYVIUNEU|GVKABRCDEFJMDR|HOOVMTNOKXFQSW|WOKXCSJTLUSNID|JVUNGKKTZPIEMK|DVBJHEMNWVAVBN|HKTWJPCZAUGITO|CADUJKRDAXBXOW|MLTUBLHADMURPH|ZNFAMEVPLBSUIX	CC(=CCc1c(O)cc(C)c(C=O)c1O)CCC(O)C(C)(C)O|CC(C=CC1=C(C)C(=O)C(O)CC1(C)C(=O)O)=CCCC(C)O|CC(C=CC1=C(C)C(=O)CCC1(C)C(=O)O)=CC(O)CC(C)O|CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC|CC=CC=CC(O)=C1C(=O)C2(C)C(OCC)CC1C(C)(O)C2O|CC(=O)OCC1CCC2C(C=CC3COC(O)(C(C)=O)C32C)C1|CCCCCC(=O)OCC=Cc1cc(OC)c(OC)c(OC)c1|C=C1C(=O)OC2C1C(O)CC1(C)C3CCC(C)(OC(C)(C)O3)C21|COC(=O)C1(C)CC(C)(C)C2C1=C(C=O)C(C)CC2OC(C)=O|CC(C)=C(C)CC(=O)OC1C=CC2(CO)OC(=O)CC2C1(C)C|C=C(C(=O)OC)C1CC(OC(C)=O)C2(C)C(O)CC=C(C)C2C1|CC=CC=CC(O)=C1C2CC(OCC)C(C)(C(=O)C2(C)O)C1O|CC=CCCC(O)=C1C(=O)C2(C)C(=O)C(C)(O)C1CC2OCC|C=C1C(OC)OC(OC(C)=O)C2C1C1C(CCC23CO3)C1(C)C|COC12CC3C(OC(C)=O)CCC(C)C3(C)CC1=C(C)C(=O)O2|C=C(C(=O)OC)C1CC(OC(C)=O)C2(C)C(O)CCC(=C)C2C1|CC1(CC(=O)O)C(=O)CCC2(C)C1CCC1(O)C(=O)CCC12C|CCC(=O)OC1CC(O)C2(C)CCC3C(C)C(=O)OC3C2=C1C|CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1|CCCCCC1CC(OC(C)=O)CC(c2ccc(O)c(O)c2)O1|CCCCCC=CC1=CC(O)C2OC2(CC=C(C)C(=O)O)C1O|CCCCCC=CC1=CC(=O)CC(O)(CC=C(C)C(=O)O)C1O|CCCCCC1OC(CC2OCc3c(O)cccc32)C(O)C1O|CC1(C)CCCC2(C)C1OOC1(C)OC(c3ccoc3)C(O)C12|C=C1COC2(OC)CC(C)=C3CC(OC(C)=O)C(C)C3CC12O|Cc1c(O)cc(O)c2c1C(C)C(C)OC2CC(=O)CC(C)(C)O|COc1cc(C=CCCCCC=CC(O)C(C)O)oc(=O)c1C|CCCCCCCC1Cc2c(C)c(O)c(C(=O)O)c(O)c2CO1|CC(O)CCCC1CCCCCc2cc(O)cc(O)c2C(=O)O1|CCOC(=O)c1c(O)cc(O)cc1C=CCCCCCC(C)O|CC(C)=CCCC(C)=CC1OC(=O)CC12CC(O)C(O)CC2=O|COC1C2=C(C)CC(OC(C)=O)C34OC2C(C1O)C3CC4(C)C|COC1C2OC3(C)CC(OC(C)=O)C45OC(C2C4CC5(C)C)C13|CC=CC(O)CC1C(=O)C=CC1(O)CCCCC1CCC(=O)O1|CCC=CCC(O)C(=O)C=CC(O)CC#CCCCCC(=O)O|COC(C)(C)C1CCC2(C)OC3=C(CC12)C(=O)C1(O)COC3C1|CC(C=CC1(O)C2(C)COC1(C)CC(=O)C2)=CC(C)(C)C(=O)O|CCCCCCCCCOC(=O)c1ccc(O)cc1OC(C)=O|CC(=O)OC1CC2C=CCCCC(C)OC(=O)C=CC(O)C2C1|COC(=O)c1ccc(OCCC(C)CC(=O)CC(C)C)c(O)c1|CCOC(C)c1c(OC)c2c(c(OC)c1OC)OC(C)(C)C=C2	0001334|0001550|0001550|0004298|0001670|0001634|0000138|0001772|0000346|0000301|0000101|0002088|0002088|0001781|0001283|0000101|0000514|0001772|0000147|0000135|0001989|0000341|0002204|||0003411||0000487|0001248|0004702|0001245|0001729|0001729|0001245||0004325|0003086|0004576|0000346|0004699|0003522	Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|||Organic compounds||Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds||Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds|Organic compounds	Lipids and lipid-like molecules|Lipids and lipid-like molecules|Lipids and lipid-like molecules|Organic oxygen compounds|Organic oxygen compounds|Organoheterocyclic compounds|Benzenoids|Lipids and lipid-like molecules|Organic acids and derivatives|Organoheterocyclic compounds|Lipids and lipid-like molecules|Organic oxygen compounds|Organic oxygen compounds|Lipids and lipid-like molecules|Lipids and lipid-like molecules|Lipids and lipid-like molecules|Lipids and lipid-like molecules|Lipids and lipid-like molecules|Phenylpropanoids and polyketides|Benzenoids|Lipids and lipid-like molecules|Lipids and lipid-like molecules|Organic oxygen compounds|||Organoheterocyclic compounds||Benzenoids|Benzenoids|Benzenoids|Organoheterocyclic compounds|Organoheterocyclic compounds|Organoheterocyclic compounds|Organoheterocyclic compounds||Organic oxygen compounds|Lipids and lipid-like molecules|Benzenoids|Organic acids and derivatives|Benzenoids|Organoheterocyclic compounds	Fatty Acyls|Prenol lipids|Prenol lipids|Organooxygen compounds|Organooxygen compounds|Naphthofurans|Phenol ethers|Prenol lipids|Carboxylic acids and derivatives|Benzofurans|Prenol lipids|Organooxygen compounds|Organooxygen compounds|Prenol lipids|Prenol lipids|Prenol lipids|Fatty Acyls|Prenol lipids|Macrolides and analogues|Phenols|Fatty Acyls|Fatty Acyls|Organooxygen compounds|||Benzopyrans||Benzene and substituted derivatives|Benzene and substituted derivatives|Benzene and substituted derivatives|Lactones|Oxepanes|Oxepanes|Lactones||Organooxygen compounds|Fatty Acyls|Benzene and substituted derivatives|Carboxylic acids and derivatives|Benzene and substituted derivatives|Benzopyrans	Fatty alcohols|Sesquiterpenoids|Sesquiterpenoids|Alkyl-phenylketones|Tertiary alcohols|Naphthofurans|Anisoles|Eudesmanolides, secoeudesmanolides, and derivatives|Dicarboxylic acids and derivatives|Benzofurans|Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids|Acyloins|Acyloins|Aromadendrane sesquiterpenoids|Terpene lactones|Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids|Prostaglandins and related compounds|Eudesmanolides, secoeudesmanolides, and derivatives|Macrolides and analogues|Catechols|Heterocyclic fatty acids|Hydroxy fatty acids|C-glycosyl compounds|||2-benzopyrans||Salicylic acid and derivatives|Hydroxybenzoic acid derivatives|p-Hydroxybenzoic acid alkyl esters|Gamma butyrolactones|Oxepanes|Oxepanes|Gamma butyrolactones||Cyclohexenones|Medium-chain fatty acids|Acylsalicylic acids and derivatives|Dicarboxylic acids and derivatives|m-Hydroxybenzoic acid esters|2,2-dimethyl-1-benzopyrans	Polyketides $ Terpenoids|Polyketides|Polyketides|Polyketides|Polyketides|Polyketides|Shikimates and Phenylpropanoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Polyketides|Polyketides|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Polyketides|Shikimates and Phenylpropanoids|||Polyketides|Terpenoids|Terpenoids|Polyketides|Polyketides|Polyketides|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Terpenoids|Terpenoids|Terpenoids|Polyketides|Fatty acids|Terpenoids|Terpenoids|Shikimates and Phenylpropanoids|Polyketides||Polyketides	Meroterpenoids|notClassified|notClassified|Aromatic polyketides|Aromatic polyketides|Cyclic polyketides|Phenylpropanoids (C6-C3)|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Aromatic polyketides|Aromatic polyketides|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Diterpenoids|Sesquiterpenoids|Macrolides|notClassified|||Cyclic polyketides|Diterpenoids|Sesquiterpenoids|Chromanes|Cyclic polyketides|Chromanes|Coumarins|Phenolic acids (C6-C1)|Diterpenoids|Sesquiterpenoids|Sesquiterpenoids|notClassified|Eicosanoids|Meroterpenoids|Apocarotenoids|Phenolic acids (C6-C1)|Macrolides||notClassified	Tetraketide meroterpenoids|notClassified|notClassified|Aromatic polyketides with side chains|Sorbicilinoids|Oblogolides|Cinnamic acids and derivatives|Guaiane sesquiterpenoids|Botryane sesquiterpenoids|Bisabolane sesquiterpenoids|Eudesmane sesquiterpenoids|Sorbicilinoids|Sorbicilinoids|Aromadendrane sesquiterpenoids|Eremophilane sesquiterpenoids|Eudesmane sesquiterpenoids|notClassified|Eudesmane sesquiterpenoids|Zearalenones|notClassified|||Phthalide derivatives|notClassified|Guaiane sesquiterpenoids|Azaphilones|2-pyrone derivatives|Azaphilones|Isocoumarins|Shikimic acids and derivatives $ Simple phenolic acids|notClassified|Caryophyllane sesquiterpenoids|Caryophyllane sesquiterpenoids|notClassified|Leukotrienes|Miscellaneous meroterpenoids|Apocarotenoids(ε-)|Shikimic acids and derivatives $ Simple phenolic acids|Macrolide lactones||notClassified	||||||||||||||||||||||||||||||||||||||||	||||||||||||||||||||||||||||||||||||||||	0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446|0.00119482669822446	||||||||||||||||||||||||||||||||||||||||	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
50	186.1236792814603	0.33157742	1.57776728703116	dummy	0.153475970852704	dummy	0.153475970852704	dummy	0.153475970852704	dummy	0.153475970852704	dummy	0.153475970852704	dummy	0.153475970852704	dummy	0.153475970852704	1	3.46404233436734	C8H15N3O2								ISDB	7	0.147958025336266		185.11643	-0.3064	NXPHNSRBZJSUKP	CCOC12CCN(C)C1NC(=O)N2	0001149	Organic compounds	Organoheterocyclic compounds	Azolidines	Imidazolidinones	Alkaloids	notClassified	notClassified			2.71999999768013e-06		1	1	0.147958025336266	0	0	0.0493193417787553
55	371.23994377473645	0.3396996	0.868096203250959			Organic acids and derivatives	0.9999934434890747	Carboxylic acids and derivatives	0.9999758005142212	Oligopeptides	0.9891023635864258	Amino acids and Peptides	0.9999349117279053	Small peptides	0.9897052645683289	Tripeptides	0.746829628944397	1		C16H27N5O4	19	0.9100780420905578	0.0	46.45072566544283	46.45072566544283	0.47780798176718664	-272.1444175074177	SIRIUS			(2S)-N-[(2S)-5-amino-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-1-oxopentan-2-yl]-3-methyl-5-oxopyrrolidine-2-carboxamide	371.24013	-1.8	INBWFBVPJDIDSV	CC1CC(=O)NC1C(=O)NC(CCCN)C(=O)N2CCCC2C(=O)N											-0.000229892090544581		1	1	0.0367451961410432	0	0	0.012248398713681
56	333.21294046284913	0.34288326	0.894178597482458			Organic acids and derivatives	0.9999873638153076	Carboxylic acids and derivatives	0.9999798536300659	Oligopeptides	0.9974510073661804	Amino acids and Peptides	0.9999895095825195	Small peptides	0.9999552965164185	Tripeptides	0.9797549247741699	1	3.53816704624644	C19H28N2O3								ISDB	13	0.0785142779350281		332.20999	2.0534	GKMXSFJGRLSBSA	CC(C)C(=O)C(=O)N(C)C(C(=O)NCCc1ccccc1)C(C)C	0001096	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	N-acyl amines	Amino acids and Peptides	Small peptides	Dipeptides			0.0043687560000194		4	1	0.0785142779350281	0	1	0.192337592144509
