structure,structure_smiles_canonical,structure_smiles_isomeric,structure_inchi,structure_inchikey,organism
http://www.wikidata.org/entity/Q105208437,O=C(C1=CC(Cl)=C(Cl)N1)C=2C(O)=CC=C(C2O)C(C=3N=C(SC3)C=4C=CC=CC4O)C5=CC=C(O)C(C(=O)C6=CC(Cl)=C(Cl)N6)=C5O,,"InChI=1S/C32H19Cl4N3O7S/c33-15-9-17(37-30(15)35)28(45)24-21(41)7-5-13(26(24)43)23(19-11-47-32(39-19)12-3-1-2-4-20(12)40)14-6-8-22(42)25(27(14)44)29(46)18-10-16(34)31(36)38-18/h1-11,23,37-38,40-44H",PGJSUOOMNBEQDS-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q105159677,CCC(C)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C(N)CSC)C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,,"InChI=1S/C50H78N14O17S/c1-6-25(4)40(47(78)60-31(21-38(70)71)44(75)61-33(49(80)81)19-26-11-13-27(65)14-12-26)63-46(77)39(24(2)3)62-43(74)30(15-16-37(68)69)59-45(76)34-10-8-18-64(34)48(79)32(20-35(52)66)57-36(67)22-56-42(73)29(9-7-17-55-50(53)54)58-41(72)28(51)23-82-5/h11-14,24-25,28-34,39-40,65H,6-10,15-23,51H2,1-5H3,(H2,52,66)(H,56,73)(H,57,67)(H,58,72)(H,59,76)(H,60,78)(H,61,75)(H,62,74)(H,63,77)(H,68,69)(H,70,71)(H,80,81)(H4,53,54,55)",LYYQYJLSWPMKAR-UHFFFAOYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q110167966,O=C1NC(C(=O)N2CCCC12)CCSC,CSCC[C@H]1NC(=O)[C@H]2CCCN2C1=O,"InChI=1S/C10H16N2O2S/c1-15-6-4-7-10(14)12-5-2-3-8(12)9(13)11-7/h7-8H,2-6H2,1H3,(H,11,13)/t7-,8-/m1/s1",VFVAGPWBFWJBMN-HTQZYQBOSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q105168294,OC=1C(OC)=C(OC)C(O)=C(C1C)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC,"InChI=1S/C29H44O4/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-17-23(5)18-19-25-24(6)26(30)28(32-7)29(33-8)27(25)31/h12,14,16,18,30-31H,9-11,13,15,17,19H2,1-8H3/b21-14+,22-16+,23-18+",MNDMLSPMVVCPJU-INVBOZNNSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q105227907,CC(O)C(NC(=O)C(CCCN(O)C=O)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(COC=O)NC(=O)C1CC=NC2C(NC(=O)CCC(N)=O)=Cc3cc(O)c(O)cc3N12)C(=O)NC(C(=O)NC(CCCCN)C(=O)NC1CCCN(O)C1=O)C(C)O,C[C@H](O)[C@H](NC(=O)[C@H](CCCN(O)C=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](COC=O)NC(=O)[C@@H]1CC=N[C@@H]2C(NC(=O)CCC(N)=O)=Cc3cc(O)c(O)cc3N21)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H]1CCCN(O)C1=O)[C@H](C)O,"InChI=1S/C55H84N18O21/c1-27(77)43(52(89)65-30(8-3-4-15-56)46(83)66-33-11-7-19-72(93)54(33)91)70-53(90)44(28(2)78)69-48(85)32(10-6-18-71(92)25-75)63-49(86)35(23-74)67-47(84)31(9-5-16-61-55(58)59)64-50(87)36(24-94-26-76)68-51(88)37-14-17-60-45-34(62-42(82)13-12-41(57)81)20-29-21-39(79)40(80)22-38(29)73(37)45/h17,20-22,25-28,30-33,35-37,43-45,74,77-80,92-93H,3-16,18-19,23-24,56H2,1-2H3,(H2,57,81)(H,62,82)(H,63,86)(H,64,87)(H,65,89)(H,66,83)(H,67,84)(H,68,88)(H,69,85)(H,70,90)(H4,58,59,61)/t27-,28-,30-,31-,32-,33-,35+,36+,37-,43-,44-,45-/m0/s1",QTSUWBVHPRTSMB-FQZZUHABSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q105239753,CC(=O)NC(CO)C(OC1OC(C(N)=O)C(OC2OC(C(N)=O)C(O)C(O)C2NC(C)=O)C(O)C1NC=O)C(O)C(C)O,CC(=O)N[C@H]1[C@@H](O[C@@H]2[C@H](O)[C@@H](NC=O)[C@@H](O[C@@H]([C@H](O)[C@@H](C)O)[C@H](CO)NC(C)=O)O[C@@H]2C(N)=O)O[C@H](C(N)=O)[C@H](O)[C@@H]1O,"InChI=1S/C23H39N5O15/c1-6(31)12(34)16(9(4-29)27-7(2)32)40-22-10(26-5-30)14(36)17(19(43-22)21(25)39)41-23-11(28-8(3)33)13(35)15(37)18(42-23)20(24)38/h5-6,9-19,22-23,29,31,34-37H,4H2,1-3H3,(H2,24,38)(H2,25,39)(H,26,30)(H,27,32)(H,28,33)/t6-,9+,10-,11-,12-,13-,14-,15-,16-,17-,18+,19+,22+,23+/m1/s1",RLBLYZKFNSJEQQ-XPQYTBFCSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q105106948,O=C1C=C(C(=O)C=2C=CC=CC12)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)=CCCC(C)=CCC1=CC(=O)c2ccccc2C1=O,"InChI=1S/C45H62O2/c1-34(2)17-11-18-35(3)19-12-20-36(4)21-13-22-37(5)23-14-24-38(6)25-15-26-39(7)27-16-28-40(8)31-32-41-33-44(46)42-29-9-10-30-43(42)45(41)47/h9-10,17,19,21,23,25,27,29-31,33H,11-16,18,20,22,24,26,28,32H2,1-8H3/b35-19+,36-21+,37-23+,38-25+,39-27?,40-31?",GJIGVPBRJFOUGD-PDJFLPSQSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q105158664,[O-][N+]=1C=2C=CC=CC2C(O)=CC1CCCC=CCCCCCC,CCCCCC/C=C\CCCc1cc(O)c2ccccc2[n+]1[O-],"InChI=1S/C20H27NO2/c1-2-3-4-5-6-7-8-9-10-13-17-16-20(22)18-14-11-12-15-19(18)21(17)23/h7-8,11-12,14-16,22H,2-6,9-10,13H2,1H3/b8-7-",LWYHXEXQBAUDEY-FPLPWBNLSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q113958880,O=C(C=CC)NC=1OC(=O)N2C(=CC1)C(O)C2,C/C=C/C(=O)NC1=CC=C2[C@H](O)CN2C(=O)O1,"InChI=1S/C11H12N2O4/c1-2-3-9(15)12-10-5-4-7-8(14)6-13(7)11(16)17-10/h2-5,8,14H,6H2,1H3,(H,12,15)/b3-2+/t8-/m1/s1",AIECUUXSLHXKBY-UFUPEUMYSA-N,Pseudomonas aeruginosa
http://www.wikidata.org/entity/Q105183808,C[C+]1C=[N+](C2CC(O)C(CCP(=O)([O-])OP(=O)([O-])OC3OC(C)C(O)C(O)C3O)O2)C(=O)NC1=O,C[C+]1C=[N+]([C@@H]2C[C@H](O)[C@H](CCP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)O2)C(=O)NC1=O,"InChI=1S/C17H26N2O14P2/c1-7-6-19(17(25)18-15(7)24)11-5-9(20)10(31-11)3-4-34(26,27)33-35(28,29)32-16-14(23)13(22)12(21)8(2)30-16/h6,8-14,16,20-23H,3-5H2,1-2H3,(H-2,18,24,25,26,27,28,29)/t8-,9-,10-,11-,12+,13+,14+,16+/m0/s1",NQGLMWQXKRELIQ-AYDVIBIJSA-N,Pseudomonas aeruginosa
