structure_inchikey_short,structure,organism
PIFFQYJYNWXNGE,http://www.wikidata.org/entity/Q4596777,Pseudomonas protegens
NNTXFOAPABMVEG,http://www.wikidata.org/entity/Q27131049,Pseudomonas luteola
ICKWICRCANNIBI,http://www.wikidata.org/entity/Q26840829,Pseudomonas monteilii
AMINWEWPBYIIHI,http://www.wikidata.org/entity/Q104914652,Pseudomonas protegens
BQAUYRQMRXRGOO,http://www.wikidata.org/entity/Q104944247,Pseudomonas protegens
SUEYFBRHOFKAFG,http://www.wikidata.org/entity/Q105260854,Pseudomonas protegens
XBMMXHKKPWDRNN,http://www.wikidata.org/entity/Q105324578,Pseudomonas protegens
ZXSJQYOLQMMIHI,http://www.wikidata.org/entity/Q105385749,Pseudomonas protegens
AMCJPHJAMUEWRC,http://www.wikidata.org/entity/Q107027914,Pseudomonas protegens
GEWMHPSWCXWODW,http://www.wikidata.org/entity/Q105007386,Pseudomonas luteola
DWMZHBRAZSJRFR,http://www.wikidata.org/entity/Q110168853,Pseudomonas protegens
IAKFXRHGJSECQI,http://www.wikidata.org/entity/Q110169054,Pseudomonas protegens
YMNQPZJRJJQFBM,http://www.wikidata.org/entity/Q110169055,Pseudomonas protegens
SVXKHIPPUVZILX,http://www.wikidata.org/entity/Q113958763,Pseudomonas protegens
LYFHKXUMAQGNFW,http://www.wikidata.org/entity/Q113976272,Pseudomonas protegens
QYEWAEAWMXRMHB,http://www.wikidata.org/entity/Q105230080,Pseudomonas libanensis
SNRUBQQJIBEYMU,http://www.wikidata.org/entity/Q150744,Pseudomonas aeruginosa
YGSDEFSMJLZEOE,http://www.wikidata.org/entity/Q193572,Pseudomonas aeruginosa
VZPKOWYCGWOYRF,http://www.wikidata.org/entity/Q229986,Pseudomonas aeruginosa
BHQCQFFYRZLCQQ,http://www.wikidata.org/entity/Q287415,Pseudomonas aeruginosa
QJBZDBLBQWFTPZ,http://www.wikidata.org/entity/Q371817,Pseudomonas aeruginosa
YNCMLFHHXWETLD,http://www.wikidata.org/entity/Q410503,Pseudomonas aeruginosa
YFAUKWZNPVBCFF,http://www.wikidata.org/entity/Q2715091,Pseudomonas aeruginosa
ZNEZZONMADKYTB,http://www.wikidata.org/entity/Q8214251,Pseudomonas aeruginosa
VKCYHJWLYTUGCC,http://www.wikidata.org/entity/Q15726063,Pseudomonas aeruginosa
LSGOTAXPWMCUCK,http://www.wikidata.org/entity/Q27089361,Pseudomonas aeruginosa
QEFRNWWLZKMPFJ,http://www.wikidata.org/entity/Q27093460,Pseudomonas aeruginosa
MEYMBLGOKYDGLZ,http://www.wikidata.org/entity/Q27094231,Pseudomonas aeruginosa
AYFVYJQAPQTCCC,http://www.wikidata.org/entity/Q27094610,Pseudomonas aeruginosa
RGWHQCVHVJXOKC,http://www.wikidata.org/entity/Q27096376,Pseudomonas aeruginosa
