structure_inchikey_short,structure,structure_mf,organism
NYBZAGXTZXPYND,http://www.wikidata.org/entity/Q27110216,C₁₄H₁₆N₂O₃S₂,"Pseudomonas aeruginosa, Burkholderia cepacia"
NYBZAGXTZXPYND,http://www.wikidata.org/entity/Q27135674,C₁₄H₁₆N₂O₃S₂,Pseudomonas aeruginosa
SJRIMIDQFZMJPZ,http://www.wikidata.org/entity/Q77380658,C₁₄H₁₆N₂O₃S₂,Penicillium turbatum
FKQQKMGWCJGUCS,http://www.wikidata.org/entity/Q4817643,C₁₈H₁₂O₆,"Suillus grevillei, Suillus bovinus, Tapinella atrotomentosa, Thelephora aurantiotincta, Omphalotus subilludens, Boletus bovinus, Hydnellum diabolus"
FHSNJSGPSZOMPX,http://www.wikidata.org/entity/Q104995450,C₁₄H₁₆N₂O₃S₂,Streptomyces venezuelae
NYBZAGXTZXPYND,http://www.wikidata.org/entity/Q105187442,C₁₄H₁₆N₂O₃S₂,Pseudomonas fluorescens
SJRIMIDQFZMJPZ,http://www.wikidata.org/entity/Q105254501,C₁₄H₁₆N₂O₃S₂,Hyalodendron
GSHSUMLUNJWBPE,http://www.wikidata.org/entity/Q77372314,C₁₈H₁₂O₆,Stilbella fimetaria
UTSVPXMQSFGQTM,http://www.wikidata.org/entity/Q104198889,C₁₈H₁₂O₆,Aspergillus versicolor
JFHROJUPZOOWGZ,http://www.wikidata.org/entity/Q105126697,C₁₈H₁₂O₆,Aschersonia coffeae
PZEIKFYZAURRNF,http://www.wikidata.org/entity/Q105216932,C₁₈H₁₂O₆,Suillus grevillei
PZEIKFYZAURRNF,http://www.wikidata.org/entity/Q105216933,C₁₈H₁₂O₆,Suillus grevillei
QVTNCCTYKIEOIS,http://www.wikidata.org/entity/Q105228903,C₁₈H₁₂O₆,"Neorautanenia amboensis, Neorautanenia mitis"
UTSVPXMQSFGQTM,http://www.wikidata.org/entity/Q105279064,C₁₈H₁₂O₆,"Aspergillus nidulans, Aspergillus versicolor"
UTSVPXMQSFGQTM,http://www.wikidata.org/entity/Q2777979,C₁₈H₁₂O₆,"Aspergillus nidulans, Aspergillus ustus, Aspergillus unguis, Aspergillus multicolor, Aspergillus ochraceoroseus, Aspergillus ruber, Aspergillus stellatus, Aspergillus versicolor, Botryotrichum, Monocillium nordinii, Aspergillus quadrilineatus, Aspergillus striatus, Aspergillus chevalieri, Bipolaris sorokiniana, Aspergillus amstelodami, Niesslia nordinii, Collariella virescens"
VRTHPBIMOLQLGL,http://www.wikidata.org/entity/Q111269452,C₁₄H₁₆N₂O₃S₂,Streptomyces scabiei
LVDDJZBTYZUCIZ,http://www.wikidata.org/entity/Q110190079,C₁₈H₁₂O₆,Liatris elegans
