structure_inchikey_short,structure
FFILOTSTFMXQJC,http://www.wikidata.org/entity/Q4864602
GIVLTTJNORAZON,http://www.wikidata.org/entity/Q5513693
FCBUKWWQSZQDDI,http://www.wikidata.org/entity/Q7320168
QPJBWNIQKHGLAU,http://www.wikidata.org/entity/Q10860794
YIGARKIIFOHVPF,http://www.wikidata.org/entity/Q27104892
YIGARKIIFOHVPF,http://www.wikidata.org/entity/Q27105056
VJLLLMIZEJJZTE,http://www.wikidata.org/entity/Q27105092
HHJTWTPUPVQKNA,http://www.wikidata.org/entity/Q27106311
GZQKNULLWNGMCW,http://www.wikidata.org/entity/Q27120766
AICHOOINPKHZMM,http://www.wikidata.org/entity/Q27128572
POQRWMRXUOPCLD,http://www.wikidata.org/entity/Q27145159
DOIOUJPHIXRQFM,http://www.wikidata.org/entity/Q27145229
ZKJVOCWUVOZHGQ,http://www.wikidata.org/entity/Q27148156
DCDUFQXTYNEZMU,http://www.wikidata.org/entity/Q27148157
VEQIRBNQLSOJBN,http://www.wikidata.org/entity/Q27157966
BFLPUKRPRZRARE,http://www.wikidata.org/entity/Q27157975
UPMLUBZFFWELOX,http://www.wikidata.org/entity/Q27157972
LZIGFMROBFWALA,http://www.wikidata.org/entity/Q27157978
BWZAKDPPVXHOTB,http://www.wikidata.org/entity/Q27157979
GWYAZVKLGPTFKA,http://www.wikidata.org/entity/Q27157977
BQYSWDAYQYMAJC,http://www.wikidata.org/entity/Q27157980
MGOOTGNGBOPVIV,http://www.wikidata.org/entity/Q27157991
IPRFVQMZNCETMH,http://www.wikidata.org/entity/Q27157994
MRVRZXMLIKCXOT,http://www.wikidata.org/entity/Q27157995
KWGVNZWSEWAOMI,http://www.wikidata.org/entity/Q27157992
LQRNTTGLRTZWKM,http://www.wikidata.org/entity/Q27157993
FZLJBZZCTNZGFA,http://www.wikidata.org/entity/Q27157996
PILSZEMZSHRMJE,http://www.wikidata.org/entity/Q27157997
JMHGBISEAGEKAI,http://www.wikidata.org/entity/Q27158002
JMHGBISEAGEKAI,http://www.wikidata.org/entity/Q27158003
SNPQGCDJHZAVOB,http://www.wikidata.org/entity/Q27158006
SNPQGCDJHZAVOB,http://www.wikidata.org/entity/Q27158007
BCRCIDJHDMYLDJ,http://www.wikidata.org/entity/Q27158004
BCRCIDJHDMYLDJ,http://www.wikidata.org/entity/Q27158005
GTRFIKUZMLUSGB,http://www.wikidata.org/entity/Q27158011
GTRFIKUZMLUSGB,http://www.wikidata.org/entity/Q27158009
VJLLLMIZEJJZTE,http://www.wikidata.org/entity/Q27158014
YMYQEDCYNANIPI,http://www.wikidata.org/entity/Q27158015
BSRSUMIOOGETSD,http://www.wikidata.org/entity/Q27158012
BSRSUMIOOGETSD,http://www.wikidata.org/entity/Q27158013
DFELABABMXOKTD,http://www.wikidata.org/entity/Q27158018
YMYQEDCYNANIPI,http://www.wikidata.org/entity/Q27158016
DFELABABMXOKTD,http://www.wikidata.org/entity/Q27158017
SJGWLQDELUWRDA,http://www.wikidata.org/entity/Q27158030
SJGWLQDELUWRDA,http://www.wikidata.org/entity/Q27158029
POQRWMRXUOPCLD,http://www.wikidata.org/entity/Q27158034
LVROXDRMMJVBGH,http://www.wikidata.org/entity/Q27158038
LVROXDRMMJVBGH,http://www.wikidata.org/entity/Q27158039
DOIOUJPHIXRQFM,http://www.wikidata.org/entity/Q27158037
FGJIXPPBZNPEHW,http://www.wikidata.org/entity/Q27158047
HLIJNIKSBCIDGO,http://www.wikidata.org/entity/Q27158044
VOZHMDQUIRUFQW,http://www.wikidata.org/entity/Q27158045
KDEYEEYMIPNKIJ,http://www.wikidata.org/entity/Q27158050
MKOKWBRPIBQYJJ,http://www.wikidata.org/entity/Q27158051
BLGKYYVFGMKTEZ,http://www.wikidata.org/entity/Q27158065
ZUFRMROYCSRBIP,http://www.wikidata.org/entity/Q27158079
CBEYGTIUKNFYAE,http://www.wikidata.org/entity/Q37614694
WBOZIXHPUPAOIA,http://www.wikidata.org/entity/Q66888639
DSRCOSQOBBICFU,http://www.wikidata.org/entity/Q66888636
BLGKYYVFGMKTEZ,http://www.wikidata.org/entity/Q66968704
BAFPKKRTAQMYMS,http://www.wikidata.org/entity/Q73402271
MNZSQEOUUWNMGH,http://www.wikidata.org/entity/Q75063705
HHJTWTPUPVQKNA,http://www.wikidata.org/entity/Q25106489
YMFWPVNDZMQXAY,http://www.wikidata.org/entity/Q27120788
LEZNRPFLOGYEIO,http://www.wikidata.org/entity/Q27129779
QPJBWNIQKHGLAU,http://www.wikidata.org/entity/Q27130590
LBZARWBJHQZHMC,http://www.wikidata.org/entity/Q27157982
NURCPIMQAUMKKZ,http://www.wikidata.org/entity/Q27157983
KTKHFEPBOUGPQO,http://www.wikidata.org/entity/Q27157986
JUZJEIYRVNAPCT,http://www.wikidata.org/entity/Q27157987
UIKPUUZBQYTDRX,http://www.wikidata.org/entity/Q27157984
SIJZEDYROBAHFV,http://www.wikidata.org/entity/Q27157985
GDQJANBJIGKOAY,http://www.wikidata.org/entity/Q27157990
AIPRUOVFEZIVLN,http://www.wikidata.org/entity/Q27157988
PWYVYIOONOENHF,http://www.wikidata.org/entity/Q27157989
CBEYGTIUKNFYAE,http://www.wikidata.org/entity/Q27158043
BLGKYYVFGMKTEZ,http://www.wikidata.org/entity/Q27158064
CXQCLLQQYTUUKJ,http://www.wikidata.org/entity/Q27159690
LRUVGSYWSFDCIT,http://www.wikidata.org/entity/Q27162413
UXKZRIMBSGILRR,http://www.wikidata.org/entity/Q27162418
CSXAHYACQIWDLT,http://www.wikidata.org/entity/Q27162419
DOJNPEGQAGROHH,http://www.wikidata.org/entity/Q27162543
XTRKEFMNBBXYJG,http://www.wikidata.org/entity/Q27162581
CRFZFPHVARIXKI,http://www.wikidata.org/entity/Q63104327
IGYLDXYJGKHLKB,http://www.wikidata.org/entity/Q63105760
PFJKOHUKELZMLE,http://www.wikidata.org/entity/Q73402596
WBOZIXHPUPAOIA,http://www.wikidata.org/entity/Q74418421
DSRCOSQOBBICFU,http://www.wikidata.org/entity/Q82195414
BLGKYYVFGMKTEZ,http://www.wikidata.org/entity/Q82204642
DSRCOSQOBBICFU,http://www.wikidata.org/entity/Q106010566
WBOZIXHPUPAOIA,http://www.wikidata.org/entity/Q106010581
HHJTWTPUPVQKNA,http://www.wikidata.org/entity/Q106010584
OBOZLYBYENZWAE,http://www.wikidata.org/entity/Q106030751
BLMYOYXBAKSCTQ,http://www.wikidata.org/entity/Q106030754
DQWHBRCKOXYCIY,http://www.wikidata.org/entity/Q106030757
RXIWRIRPTSKUTD,http://www.wikidata.org/entity/Q106030762
QTTLKKFUOJQIRB,http://www.wikidata.org/entity/Q107406411
