structure_inchikey_short,structure,infection
AGOYDEPGAOXOCK,http://www.wikidata.org/entity/Q118551,staphylococcal infection|erysipelas|streptococcal pharyngitis
OKBVVJOGVLARMR,http://www.wikidata.org/entity/Q163901,streptococcal pharyngitis|staphylococcal infection|erysipelas
MQTOSJVFKKJCRP,http://www.wikidata.org/entity/Q165399,staphylococcal infection|listeriosis|erysipelas
UCSJYZPVAKXKNQ,http://www.wikidata.org/entity/Q192717,anthrax
LSQZJLSUYDQPKJ,http://www.wikidata.org/entity/Q201928,streptococcal pharyngitis|listeriosis|erysipelas
ZEKZLJVOYLTDKK,http://www.wikidata.org/entity/Q203618,staphylococcal infection
ULGZDMOVFRHVEP,http://www.wikidata.org/entity/Q213511,staphylococcal infection|anthrax
AVKUERGKIZMTKX,http://www.wikidata.org/entity/Q244150,pneumococcal infection|staphylococcal infection|listeriosis|erysipelas
MYSWGUAQZAJSOK,http://www.wikidata.org/entity/Q256602,staphylococcal infection|anthrax|erysipelas
JGSARLDLIJGVTE,http://www.wikidata.org/entity/Q258450,staphylococcal septicemia|anthrax septicemia|erysipelas
RJQXTJLFIWVMTO,http://www.wikidata.org/entity/Q409262,staphylococcal infection
ZCCUWMICIWSJIX,http://www.wikidata.org/entity/Q409712,staphylococcal infection
TYZROVQLWOKYKF,http://www.wikidata.org/entity/Q411377,staphylococcal infection
ZAIPMKNFIOOWCQ,http://www.wikidata.org/entity/Q411417,staphylococcal infection|erysipelas
GSDSWSVVBLHKDQ,http://www.wikidata.org/entity/Q411447,staphylococcal infection|erysipelas
MINDHVHHQZYEEK,http://www.wikidata.org/entity/Q413578,staphylococcal infection
JFPVXVDWJQMJEE,http://www.wikidata.org/entity/Q413728,staphylococcal infection|erysipelas
QYIYFLOTGYLRGG,http://www.wikidata.org/entity/Q415167,staphylococcal infection
DYKFCLLONBREIL,http://www.wikidata.org/entity/Q415336,anthrax
MLYYVTUWGNIJIB,http://www.wikidata.org/entity/Q415739,staphylococcal infection
OGJPXUAPXNRGGI,http://www.wikidata.org/entity/Q417897,staphylococcal infection
GPRBEKHLDVQUJE,http://www.wikidata.org/entity/Q417968,staphylococcal infection|erysipelas
UWYHMGVUTGAWSP,http://www.wikidata.org/entity/Q418725,staphylococcal infection
DOAKLVKFURWEDJ,http://www.wikidata.org/entity/Q418747,staphylococcus aureus septicemia|staphylococcal infection
DMJNNHOOLUXYBV,http://www.wikidata.org/entity/Q421670,listeriosis
VAAUVRVFOQPIGI,http://www.wikidata.org/entity/Q421713,pneumococcal infection|staphylococcal infection|erysipelas
BPLBGHOLXOTWMN,http://www.wikidata.org/entity/Q422215,pneumococcal infection|staphylococcal infection
LQOLIRLGBULYKD,http://www.wikidata.org/entity/Q422219,staphylococcal infection
KDLRVYVGXIQJDK,http://www.wikidata.org/entity/Q422273,staphylococcal infection|scarlet fever
JBIWCJUYHHGXTC,http://www.wikidata.org/entity/Q422442,staphylococcal infection|anthrax|listeriosis
CEAZRRDELHUEMR,http://www.wikidata.org/entity/Q422482,staphylococcal infection|listeriosis
JQXXHWHPUNPDRT,http://www.wikidata.org/entity/Q422652,staphylococcal infection
IEDVJHCEMCRBQM,http://www.wikidata.org/entity/Q422665,staphylococcal infection
XJSFLOJWULLJQS,http://www.wikidata.org/entity/Q423369,erysipelas
OJMMVQQUTAEWLP,http://www.wikidata.org/entity/Q423428,pneumococcal infection|staphylococcal infection
MYPYJXKWCTUITO,http://www.wikidata.org/entity/Q424027,staphylococcal infection|listeriosis|scarlet fever
RXZBMPWDPOLZGW,http://www.wikidata.org/entity/Q424037,erysipelas
GSDSWSVVBLHKDQ,http://www.wikidata.org/entity/Q424193,staphylococcal infection
CLKOFPXJLQSYAH,http://www.wikidata.org/entity/Q424319,staphylococcal infection
FABPRXSRWADJSP,http://www.wikidata.org/entity/Q424940,staphylococcal infection
ZSKVGTPCRGIANV,http://www.wikidata.org/entity/Q425152,staphylococcal infection
WVPSKSLAZQPAKQ,http://www.wikidata.org/entity/Q544393,staphylococcal infection
UQLLWWBDSUHNEB,http://www.wikidata.org/entity/Q549803,staphylococcal infection
ORFOPKXBNMVMKC,http://www.wikidata.org/entity/Q808845,staphylococcal infection|erysipelas
WZRJTRPJURQBRM,http://www.wikidata.org/entity/Q898623,listeriosis
DZZWHBIBMUVIIW,http://www.wikidata.org/entity/Q976559,staphylococcal infection
NNULBSISHYWZJU,http://www.wikidata.org/entity/Q1082945,staphylococcal infection
LQCLVBQBTUVCEQ,http://www.wikidata.org/entity/Q1087499,staphylococcal infection
RTXOFQZKPXMALH,http://www.wikidata.org/entity/Q1453445,staphylococcal infection
IDYZIJYBMGIQMJ,http://www.wikidata.org/entity/Q1639616,staphylococcal infection
NLVFBUXFDBBNBW,http://www.wikidata.org/entity/Q1758380,staphylococcal infection
WLOHNSSYAXHWNR,http://www.wikidata.org/entity/Q1989071,staphylococcal infection
YFAGHNZHGGCZAX,http://www.wikidata.org/entity/Q2313471,staphylococcal infection
BOEGTKLJZSQCCD,http://www.wikidata.org/entity/Q2319020,staphylococcal infection|erysipelas
GCFBRXLSHGKWDP,http://www.wikidata.org/entity/Q2325775,staphylococcal infection
WZOZEZRFJCJXNZ,http://www.wikidata.org/entity/Q2353907,staphylococcal infection
XUBOMFCQGDBHNK,http://www.wikidata.org/entity/Q2365016,staphylococcal infection
PLHJDBGFXBMTGZ,http://www.wikidata.org/entity/Q2467555,staphylococcal infection
HVFLCNVBZFFHBT,http://www.wikidata.org/entity/Q2552927,staphylococcal infection
OLVCFLKTBJRLHI,http://www.wikidata.org/entity/Q2601530,staphylococcal infection
SRZNHPXWXCNNDU,http://www.wikidata.org/entity/Q2602246,staphylococcal infection
DMUAPQTXSSNEDD,http://www.wikidata.org/entity/Q2636110,erysipelas
XIURVHNZVLADCM,http://www.wikidata.org/entity/Q2736126,staphylococcal infection
PFOLLRNADZZWEX,http://www.wikidata.org/entity/Q2878140,listeriosis
WDLWHQDACQUCJR,http://www.wikidata.org/entity/Q3231623,staphylococcal infection
HGBLNBBNRORJKI,http://www.wikidata.org/entity/Q5119441,pneumococcal infection|staphylococcal infection
DXKRGNXUIRKXNR,http://www.wikidata.org/entity/Q5983609,staphylococcal infection
WTHRRGMBUAHGNI,http://www.wikidata.org/entity/Q7272542,staphylococcal infection
SUIQUYDRLGGZOL,http://www.wikidata.org/entity/Q47495791,staphylococcal infection
