structure_inchikey_short,structure,signalling
AFJRYPJIKHMNGL,http://www.wikidata.org/entity/Q15410190,gamma-aminobutyric acid signaling pathway
HZLFFNCLTRVYJG,http://www.wikidata.org/entity/Q15426668,epithelial-mesenchymal cell signaling
XTYGFVVANLMBHE,http://www.wikidata.org/entity/Q15634053,gamma-aminobutyric acid signaling pathway
NIDVDYQCGWISJZ,http://www.wikidata.org/entity/Q15634084,neuron-glial cell signaling
PYVFWTPEBMRKSR,http://www.wikidata.org/entity/Q18211583,paracrine signaling
GYSZUJHYXCZAKI,http://www.wikidata.org/entity/Q21098843,neuron-glial cell signaling
VZZJRYRQSPEMTK,http://www.wikidata.org/entity/Q22075856,epithelial-mesenchymal cell signaling
YGRFXPCHZBRUKP,http://www.wikidata.org/entity/Q26840987,neuron-glial cell signaling
KYDURMHFWXCKMW,http://www.wikidata.org/entity/Q27074785,gamma-aminobutyric acid signaling pathway
KPYSYYIEGFHWSV,http://www.wikidata.org/entity/Q27074844,gamma-aminobutyric acid signaling pathway|neuron-glial cell signaling
KLRRGBHZCJLIEL,http://www.wikidata.org/entity/Q27075373,epithelial-mesenchymal cell signaling
MDBNTXARNGRHEV,http://www.wikidata.org/entity/Q27075681,gamma-aminobutyric acid signaling pathway
ONNMDRQRSGKZCN,http://www.wikidata.org/entity/Q27075900,gamma-aminobutyric acid signaling pathway|neuron-glial cell signaling
FOYWMEJSRSBQGB,http://www.wikidata.org/entity/Q27076969,neuron-glial cell signaling
SFNSLLSYNZWZQG,http://www.wikidata.org/entity/Q27077810,epithelial-mesenchymal cell signaling
IEXUMDBQLIVNHZ,http://www.wikidata.org/entity/Q27088181,paracrine signaling
KGMMSPVVHZGPHL,http://www.wikidata.org/entity/Q27088530,gamma-aminobutyric acid signaling pathway
ZADWXQMNNVICKB,http://www.wikidata.org/entity/Q27088929,epithelial-mesenchymal cell signaling
MZOITCJKGUIQEI,http://www.wikidata.org/entity/Q27088952,gamma-aminobutyric acid signaling pathway
DMLFJMQTNDSRFU,http://www.wikidata.org/entity/Q27106148,gamma-aminobutyric acid signaling pathway
QCHSEDTUUKDTIG,http://www.wikidata.org/entity/Q27106189,gamma-aminobutyric acid signaling pathway
VKFAUCPBMAGVRG,http://www.wikidata.org/entity/Q27106427,neuron-glial cell signaling
VJECBOKJABCYMF,http://www.wikidata.org/entity/Q27106443,neuron-glial cell signaling
KDXZREBVGAGZHS,http://www.wikidata.org/entity/Q27107339,gamma-aminobutyric acid signaling pathway
KJBLQGHJOCAOJP,http://www.wikidata.org/entity/Q27107353,gamma-aminobutyric acid signaling pathway
BEEDODBODQVSIM,http://www.wikidata.org/entity/Q27107602,neuron-glial cell signaling
QGMRQYFBGABWDR,http://www.wikidata.org/entity/Q27107638,gamma-aminobutyric acid signaling pathway
VBCPVIWPDJVHAN,http://www.wikidata.org/entity/Q27107723,neuron-glial cell signaling
OCYSGIYOVXAGKQ,http://www.wikidata.org/entity/Q27107758,neuron-glial cell signaling
WFXFYZULCQKPIP,http://www.wikidata.org/entity/Q27108060,neuron-glial cell signaling
ZZIZZTHXZRDOFM,http://www.wikidata.org/entity/Q27108379,neuron-glial cell signaling
MGCQZNBCJBRZDT,http://www.wikidata.org/entity/Q27114696,neuron-glial cell signaling
YTNKWDJILNVLGX,http://www.wikidata.org/entity/Q27114856,neuron-glial cell signaling
RJKFOVLPORLFTN,http://www.wikidata.org/entity/Q26963,paracrine signaling
PPTYJKAXVCCBDU,http://www.wikidata.org/entity/Q62947,gamma-aminobutyric acid signaling pathway
JBHLYIVFFLNISJ,http://www.wikidata.org/entity/Q68406,gamma-aminobutyric acid signaling pathway
GZSKEXSLDPEFPT,http://www.wikidata.org/entity/Q68414,gamma-aminobutyric acid signaling pathway
ZPMNHBXQOOVQJL,http://www.wikidata.org/entity/Q68484,gamma-aminobutyric acid signaling pathway
YPELFRMCRYSPKZ,http://www.wikidata.org/entity/Q68566,gamma-aminobutyric acid signaling pathway
FEROPKNOYKURCJ,http://www.wikidata.org/entity/Q75830,gamma-aminobutyric acid signaling pathway
KVCSJPATKXABRQ,http://www.wikidata.org/entity/Q75884,gamma-aminobutyric acid signaling pathway
UCTWMZQNUQWSLP,http://www.wikidata.org/entity/Q132621,neuron-glial cell signaling
HUNXMJYCHXQEGX,http://www.wikidata.org/entity/Q145052,gamma-aminobutyric acid signaling pathway
QZAYGJVTTNCVMB,http://www.wikidata.org/entity/Q167934,gamma-aminobutyric acid signaling pathway
ANTSCNMPPGJYLG,http://www.wikidata.org/entity/Q178566,gamma-aminobutyric acid signaling pathway
SFLSHLFXELFNJZ,http://www.wikidata.org/entity/Q186242,neuron-glial cell signaling
